LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,tostadora,individua,0.13528158,masculine
es,feminine,tostadora,humana,0.16456217,masculine
es,feminine,tostadora,chica,0.16456217,masculine
es,feminine,tostadora,anciana,0.16655749,masculine
es,feminine,tostadora,joven,0.16456217,masculine
es,feminine,tostadora,sabia,0.21371435,masculine
es,feminine,tostadora,jovencita,0.16968517,masculine
es,feminine,tostadora,animal,0.16456217,masculine
es,feminine,tostadora,creyente,0.12505397,masculine
es,feminine,tostadora,campesina,0.13890952,masculine
es,feminine,tostadora,adinerada,0.16487628,masculine
es,feminine,tostadora,fornida,0.14644346,masculine
es,feminine,tostadora,trabajadora,0.15480484,masculine
es,feminine,tostadora,sujeta,0.16884252,masculine
es,feminine,tostadora,desgraciada,0.15213156,masculine
es,feminine,tostadora,vagabunda,0.1535324,masculine
es,feminine,tostadora,guapa,0.1682744,masculine
es,feminine,tostadora,cristiana,0.16456217,masculine
es,feminine,tostadora,desdichada,0.17160164,masculine
es,feminine,tostadora,pecadora,0.20825683,masculine
es,feminine,tostadora,soñadora,0.18825941,masculine
es,feminine,tostadora,procreadora,0.15247318,masculine
es,feminine,tostadora,barbuda,0.18177761,masculine
es,feminine,tostadora,corpulenta,0.19909018,masculine
es,feminine,tostadora,vieja,0.1808918,masculine
es,feminine,tostadora,amante,0.16456217,masculine
es,feminine,tostadora,perra,0.20382705,masculine
es,feminine,tostadora,cazadora,0.20775893,masculine
es,feminine,tostadora,pescadora,0.18186648,masculine
es,feminine,tostadora,soltera,0.18593186,masculine
es,feminine,tostadora,seductora,0.15672007,masculine
es,feminine,tostadora,señora,0.20603922,masculine
es,feminine,tostadora,delincuente,0.19386114,masculine
es,feminine,tostadora,afortunada,0.17002739,masculine
es,feminine,tostadora,guerrera,0.17585805,masculine
es,feminine,tostadora,camionera,0.18363744,masculine
es,feminine,tostadora,polifacética,0.13160494,masculine
es,feminine,tostadora,vaquera,0.21150537,masculine
es,feminine,tostadora,necia,0.20581102,masculine
es,feminine,tostadora,asesina,0.142985,masculine
es,feminine,tostadora,visionaria,0.13657309,masculine
es,feminine,tostadora,piadosa,0.22691463,masculine
es,feminine,tostadora,madura,0.17968002,masculine
es,feminine,tostadora,acaudalada,0.15062204,masculine
es,feminine,tostadora,metrosexual,0.14185822,masculine
es,feminine,tostadora,viviente,0.11970478,masculine
es,feminine,tostadora,macho,0.16456217,masculine
es,feminine,tostadora,mona,0.1750563,masculine
