LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,tostadora,individua,0.3216418,masculine
es,feminine,tostadora,humana,0.44675553,masculine
es,feminine,tostadora,chica,0.5248111,masculine
es,feminine,tostadora,anciana,0.43350577,masculine
es,feminine,tostadora,joven,0.29660466,masculine
es,feminine,tostadora,sabia,0.40782756,masculine
es,feminine,tostadora,jovencita,0.55879146,masculine
es,feminine,tostadora,animal,0.3553145,masculine
es,feminine,tostadora,creyente,0.38614133,masculine
es,feminine,tostadora,campesina,0.40556318,masculine
es,feminine,tostadora,adinerada,0.43969452,masculine
es,feminine,tostadora,fornida,0.4337776,masculine
es,feminine,tostadora,trabajadora,0.5025029,masculine
es,feminine,tostadora,sujeta,0.5494304,masculine
es,feminine,tostadora,desgraciada,0.56171185,masculine
es,feminine,tostadora,vagabunda,0.44968635,masculine
es,feminine,tostadora,guapa,0.46147972,masculine
es,feminine,tostadora,cristiana,0.33816344,masculine
es,feminine,tostadora,desdichada,0.5932328,masculine
es,feminine,tostadora,pecadora,0.52707094,masculine
es,feminine,tostadora,soñadora,0.57102454,masculine
es,feminine,tostadora,procreadora,0.49732047,masculine
es,feminine,tostadora,barbuda,0.35612783,masculine
es,feminine,tostadora,corpulenta,0.4459813,masculine
es,feminine,tostadora,vieja,0.43557397,masculine
es,feminine,tostadora,amante,0.50273716,masculine
es,feminine,tostadora,perra,0.42455047,masculine
es,feminine,tostadora,cazadora,0.62334293,masculine
es,feminine,tostadora,pescadora,0.5864856,masculine
es,feminine,tostadora,soltera,0.5794593,masculine
es,feminine,tostadora,seductora,0.4318105,masculine
es,feminine,tostadora,señora,0.5099419,masculine
es,feminine,tostadora,delincuente,0.4770867,masculine
es,feminine,tostadora,afortunada,0.43301064,masculine
es,feminine,tostadora,guerrera,0.51104313,masculine
es,feminine,tostadora,camionera,0.52745813,masculine
es,feminine,tostadora,polifacética,0.41742426,masculine
es,feminine,tostadora,vaquera,0.52013946,masculine
es,feminine,tostadora,necia,0.52648216,masculine
es,feminine,tostadora,asesina,0.37785316,masculine
es,feminine,tostadora,visionaria,0.5021145,masculine
es,feminine,tostadora,piadosa,0.57247305,masculine
es,feminine,tostadora,madura,0.48703492,masculine
es,feminine,tostadora,acaudalada,0.38534555,masculine
es,feminine,tostadora,metrosexual,0.4887158,masculine
es,feminine,tostadora,viviente,0.50336206,masculine
es,feminine,tostadora,macho,0.4836195,masculine
es,feminine,tostadora,mona,0.5000802,masculine
es,feminine,tostadora,poderosa,0.39385498,masculine
es,feminine,tostadora,encarnada,0.4511636,masculine
es,feminine,tostadora,honrada,0.43589115,masculine
es,feminine,tostadora,galana,0.44224775,masculine
es,feminine,tostadora,pensadora,0.4892539,masculine
es,feminine,tostadora,primitiva,0.45061105,masculine
es,feminine,tostadora,hombruna,0.4014056,masculine
es,feminine,tostadora,octogenaria,0.37511006,masculine
es,feminine,tostadora,masculina,0.21773666,masculine
es,feminine,tostadora,ruda,0.3696827,masculine
es,feminine,tostadora,depravada,0.4579474,masculine
