LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,tostadora,individua,0.5819941,masculine
es,feminine,tostadora,humana,0.614083,masculine
es,feminine,tostadora,chica,0.6490953,masculine
es,feminine,tostadora,anciana,0.5810693,masculine
es,feminine,tostadora,joven,0.5563241,masculine
es,feminine,tostadora,sabia,0.6311377,masculine
es,feminine,tostadora,jovencita,0.6119641,masculine
es,feminine,tostadora,animal,0.56249994,masculine
es,feminine,tostadora,creyente,0.63759995,masculine
es,feminine,tostadora,campesina,0.67192686,masculine
es,feminine,tostadora,adinerada,0.61156815,masculine
es,feminine,tostadora,fornida,0.63534,masculine
es,feminine,tostadora,trabajadora,0.64382267,masculine
es,feminine,tostadora,sujeta,0.5749221,masculine
es,feminine,tostadora,desgraciada,0.6143686,masculine
es,feminine,tostadora,vagabunda,0.6305622,masculine
es,feminine,tostadora,guapa,0.65352523,masculine
es,feminine,tostadora,cristiana,0.5861666,masculine
es,feminine,tostadora,desdichada,0.594851,masculine
es,feminine,tostadora,pecadora,0.68589234,masculine
es,feminine,tostadora,soñadora,0.6683469,masculine
es,feminine,tostadora,procreadora,0.6645154,masculine
es,feminine,tostadora,barbuda,0.6102707,masculine
es,feminine,tostadora,corpulenta,0.6610895,masculine
es,feminine,tostadora,vieja,0.65237445,masculine
es,feminine,tostadora,amante,0.57667416,masculine
es,feminine,tostadora,perra,0.6805119,masculine
es,feminine,tostadora,cazadora,0.6539705,masculine
es,feminine,tostadora,pescadora,0.64710456,masculine
es,feminine,tostadora,soltera,0.66673726,masculine
es,feminine,tostadora,seductora,0.6646942,masculine
es,feminine,tostadora,señora,0.6497695,masculine
es,feminine,tostadora,delincuente,0.66426754,masculine
es,feminine,tostadora,afortunada,0.6229812,masculine
es,feminine,tostadora,guerrera,0.6557302,masculine
es,feminine,tostadora,camionera,0.6793668,masculine
es,feminine,tostadora,polifacética,0.61813194,masculine
es,feminine,tostadora,vaquera,0.6634109,masculine
es,feminine,tostadora,necia,0.6280126,masculine
es,feminine,tostadora,asesina,0.629397,masculine
es,feminine,tostadora,visionaria,0.6325539,masculine
es,feminine,tostadora,piadosa,0.6503649,masculine
es,feminine,tostadora,madura,0.60821927,masculine
es,feminine,tostadora,acaudalada,0.60279083,masculine
es,feminine,tostadora,metrosexual,0.62563956,masculine
es,feminine,tostadora,viviente,0.6452681,masculine
es,feminine,tostadora,macho,0.53480566,masculine
es,feminine,tostadora,mona,0.6782708,masculine
es,feminine,tostadora,poderosa,0.59307575,masculine
es,feminine,tostadora,encarnada,0.5962392,masculine
es,feminine,tostadora,honrada,0.5672506,masculine
es,feminine,tostadora,galana,0.6480552,masculine
es,feminine,tostadora,pensadora,0.6230545,masculine
es,feminine,tostadora,primitiva,0.5941656,masculine
es,feminine,tostadora,hombruna,0.66906965,masculine
es,feminine,tostadora,octogenaria,0.61106944,masculine
es,feminine,tostadora,masculina,0.56148964,masculine
es,feminine,tostadora,ruda,0.6173246,masculine
es,feminine,tostadora,depravada,0.5954624,masculine
es,feminine,tostadora,buenmoza,0.609004,masculine
es,feminine,tostadora,caballerosa,0.659235,masculine
es,feminine,tostadora,astuta,0.61088866,masculine
es,feminine,tostadora,atea,0.6350042,masculine
es,feminine,tostadora,forzuda,0.680608,masculine
es,feminine,tostadora,embarazada,0.56363404,masculine
es,feminine,tostadora,viajadora,0.7012946,masculine
es,feminine,tostadora,ciudadana,0.6706757,masculine
es,feminine,tostadora,infeliz,0.5709633,masculine
es,feminine,tostadora,mujeriega,0.60823447,masculine
es,feminine,tostadora,agricultora,0.6530024,masculine
es,feminine,tostadora,intrépida,0.6096256,masculine
es,feminine,tostadora,civilizada,0.5984992,masculine
es,feminine,tostadora,aventurera,0.61224866,masculine
es,feminine,tostadora,bondadosa,0.6190209,masculine
es,feminine,tostadora,semihumana,0.630335,masculine
es,feminine,tostadora,heterosexual,0.5734186,masculine
es,feminine,tostadora,tímido,0.5522751,masculine
es,feminine,tostadora,cultísima,0.5939184,masculine
es,feminine,tostadora,sapiente,0.592047,masculine
es,feminine,luna,individua,0.5429979,masculine
es,feminine,luna,humana,0.5704154,masculine
es,feminine,luna,chica,0.567359,masculine
es,feminine,luna,anciana,0.5844517,masculine
es,feminine,luna,joven,0.5863664,masculine
es,feminine,luna,sabia,0.59709674,masculine
es,feminine,luna,jovencita,0.57583654,masculine
es,feminine,luna,animal,0.5731145,masculine
es,feminine,luna,creyente,0.5536816,masculine
es,feminine,luna,campesina,0.5854329,masculine
es,feminine,luna,adinerada,0.54079676,masculine
es,feminine,luna,fornida,0.52521586,masculine
