LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,tostadora,individua,0.58919936,masculine
es,feminine,tostadora,humana,0.435,masculine
es,feminine,tostadora,chica,0.5158754,masculine
es,feminine,tostadora,anciana,0.4763634,masculine
es,feminine,tostadora,joven,0.3282002,masculine
es,feminine,tostadora,sabia,0.45124292,masculine
es,feminine,tostadora,jovencita,0.5488105,masculine
es,feminine,tostadora,animal,0.4110676,masculine
es,feminine,tostadora,creyente,0.5365136,masculine
es,feminine,tostadora,campesina,0.43268946,masculine
es,feminine,tostadora,adinerada,0.6787113,masculine
es,feminine,tostadora,fornida,0.4271226,masculine
es,feminine,tostadora,trabajadora,0.56857324,masculine
es,feminine,tostadora,sujeta,0.6862901,masculine
es,feminine,tostadora,desgraciada,0.5757435,masculine
es,feminine,tostadora,vagabunda,0.59121865,masculine
es,feminine,tostadora,guapa,0.54327756,masculine
es,feminine,tostadora,cristiana,0.3653436,masculine
es,feminine,tostadora,desdichada,0.45856324,masculine
es,feminine,tostadora,pecadora,0.6043153,masculine
es,feminine,tostadora,soñadora,0.65231466,masculine
es,feminine,tostadora,procreadora,0.6127469,masculine
es,feminine,tostadora,barbuda,0.4066227,masculine
es,feminine,tostadora,corpulenta,0.49481726,masculine
es,feminine,tostadora,vieja,0.48129696,masculine
es,feminine,tostadora,amante,0.48590872,masculine
es,feminine,tostadora,perra,0.52361923,masculine
es,feminine,tostadora,cazadora,0.6503484,masculine
es,feminine,tostadora,pescadora,0.63788986,masculine
es,feminine,tostadora,soltera,0.51663905,masculine
es,feminine,tostadora,seductora,0.39033598,masculine
es,feminine,tostadora,señora,0.70397455,masculine
es,feminine,tostadora,delincuente,0.5283692,masculine
es,feminine,tostadora,afortunada,0.512669,masculine
es,feminine,tostadora,guerrera,0.5979602,masculine
es,feminine,tostadora,camionera,0.6169031,masculine
es,feminine,tostadora,polifacética,0.43314004,masculine
es,feminine,tostadora,vaquera,0.48124918,masculine
es,feminine,tostadora,necia,0.5402181,masculine
es,feminine,tostadora,asesina,0.4667239,masculine
es,feminine,tostadora,visionaria,0.5951421,masculine
es,feminine,tostadora,piadosa,0.7359664,masculine
es,feminine,tostadora,madura,0.42406496,masculine
es,feminine,tostadora,acaudalada,0.5104171,masculine
es,feminine,tostadora,metrosexual,0.46625775,masculine
es,feminine,tostadora,viviente,0.54964983,masculine
es,feminine,tostadora,macho,0.4902156,masculine
es,feminine,tostadora,mona,0.7040947,masculine
es,feminine,tostadora,poderosa,0.42419723,masculine
es,feminine,tostadora,encarnada,0.4725097,masculine
es,feminine,tostadora,honrada,0.49454343,masculine
es,feminine,tostadora,galana,0.5339633,masculine
es,feminine,tostadora,pensadora,0.57067794,masculine
es,feminine,tostadora,primitiva,0.47101414,masculine
es,feminine,tostadora,hombruna,0.71079415,masculine
es,feminine,tostadora,octogenaria,0.48797292,masculine
es,feminine,tostadora,masculina,0.27872843,masculine
es,feminine,tostadora,ruda,0.5202561,masculine
es,feminine,tostadora,depravada,0.49184218,masculine
es,feminine,tostadora,buenmoza,0.54235405,masculine
es,feminine,tostadora,caballerosa,0.7755558,masculine
es,feminine,tostadora,astuta,0.4444622,masculine
es,feminine,tostadora,atea,0.41447002,masculine
es,feminine,tostadora,forzuda,0.5324888,masculine
es,feminine,tostadora,embarazada,0.42719522,masculine
es,feminine,tostadora,viajadora,0.5903174,masculine
es,feminine,tostadora,ciudadana,0.60927105,masculine
es,feminine,tostadora,infeliz,0.36748156,masculine
es,feminine,tostadora,mujeriega,0.61990994,masculine
es,feminine,tostadora,agricultora,0.4919542,masculine
es,feminine,tostadora,intrépida,0.45333704,masculine
es,feminine,tostadora,civilizada,0.4805345,masculine
es,feminine,tostadora,aventurera,0.6662981,masculine
es,feminine,tostadora,bondadosa,0.77587384,masculine
es,feminine,tostadora,semihumana,0.44706392,masculine
es,feminine,tostadora,heterosexual,0.51970774,masculine
es,feminine,tostadora,tímido,0.46881336,masculine
es,feminine,tostadora,cultísima,0.5277814,masculine
es,feminine,tostadora,sapiente,0.46293575,masculine
es,feminine,luna,individua,0.46035033,masculine
es,feminine,luna,humana,0.61811244,masculine
es,feminine,luna,chica,0.695778,masculine
es,feminine,luna,anciana,0.52246565,masculine
es,feminine,luna,joven,0.5040184,masculine
es,feminine,luna,sabia,0.5151958,masculine
es,feminine,luna,jovencita,0.49568897,masculine
es,feminine,luna,animal,0.60464096,masculine
es,feminine,luna,creyente,0.3677066,masculine
es,feminine,luna,campesina,0.46228367,masculine
es,feminine,luna,adinerada,0.3781766,masculine
es,feminine,luna,fornida,0.44654718,masculine
es,feminine,luna,trabajadora,0.44812596,masculine
es,feminine,luna,sujeta,0.5114021,masculine
es,feminine,luna,desgraciada,0.46424454,masculine
es,feminine,luna,vagabunda,0.43207538,masculine
es,feminine,luna,guapa,0.5995349,masculine
es,feminine,luna,cristiana,0.5533829,masculine
es,feminine,luna,desdichada,0.37449145,masculine
es,feminine,luna,pecadora,0.48985782,masculine
es,feminine,luna,soñadora,0.4768959,masculine
es,feminine,luna,procreadora,0.40399805,masculine
es,feminine,luna,barbuda,0.4019601,masculine
es,feminine,luna,corpulenta,0.43424472,masculine
es,feminine,luna,vieja,0.5856474,masculine
es,feminine,luna,amante,0.6704069,masculine
es,feminine,luna,perra,0.5287323,masculine
es,feminine,luna,cazadora,0.55259573,masculine
es,feminine,luna,pescadora,0.55463475,masculine
es,feminine,luna,soltera,0.62648004,masculine
es,feminine,luna,seductora,0.4772526,masculine
es,feminine,luna,señora,0.52922153,masculine
es,feminine,luna,delincuente,0.3917311,masculine
es,feminine,luna,afortunada,0.46286973,masculine
es,feminine,luna,guerrera,0.48905426,masculine
es,feminine,luna,camionera,0.5029835,masculine
es,feminine,luna,polifacética,0.42209086,masculine
es,feminine,luna,vaquera,0.5271297,masculine
es,feminine,luna,necia,0.65885854,masculine
es,feminine,luna,asesina,0.46162644,masculine
es,feminine,luna,visionaria,0.48364258,masculine
es,feminine,luna,piadosa,0.5555325,masculine
es,feminine,luna,madura,0.56918156,masculine
es,feminine,luna,acaudalada,0.41761634,masculine
es,feminine,luna,metrosexual,0.37784824,masculine
es,feminine,luna,viviente,0.43905187,masculine
es,feminine,luna,macho,0.6777852,masculine
es,feminine,luna,mona,0.69710207,masculine
es,feminine,luna,poderosa,0.5231453,masculine
es,feminine,luna,encarnada,0.35582423,masculine
es,feminine,luna,honrada,0.42048728,masculine
es,feminine,luna,galana,0.6395197,masculine
es,feminine,luna,pensadora,0.5072413,masculine
es,feminine,luna,primitiva,0.5639535,masculine
es,feminine,luna,hombruna,0.51180327,masculine
es,feminine,luna,octogenaria,0.36896217,masculine
es,feminine,luna,masculina,0.33950493,masculine
es,feminine,luna,ruda,0.48273432,masculine
es,feminine,luna,depravada,0.41798306,masculine
es,feminine,luna,buenmoza,0.5009993,masculine
es,feminine,luna,caballerosa,0.48294604,masculine
es,feminine,luna,astuta,0.62606454,masculine
es,feminine,luna,atea,0.41755974,masculine
es,feminine,luna,forzuda,0.5130419,masculine
es,feminine,luna,embarazada,0.42300713,masculine
es,feminine,luna,viajadora,0.40349117,masculine
es,feminine,luna,ciudadana,0.4578327,masculine
es,feminine,luna,infeliz,0.3849155,masculine
es,feminine,luna,mujeriega,0.5236157,masculine
es,feminine,luna,agricultora,0.40399858,masculine
es,feminine,luna,intrépida,0.399302,masculine
es,feminine,luna,civilizada,0.38584554,masculine
es,feminine,luna,aventurera,0.5012525,masculine
es,feminine,luna,bondadosa,0.490092,masculine
es,feminine,luna,semihumana,0.37981546,masculine
es,feminine,luna,heterosexual,0.36126193,masculine
es,feminine,luna,tímido,0.494788,masculine
es,feminine,luna,cultísima,0.40385514,masculine
es,feminine,luna,sapiente,0.4829723,masculine
es,feminine,escoba,individua,0.47598967,masculine
es,feminine,escoba,humana,0.48665187,masculine
es,feminine,escoba,chica,0.484172,masculine
es,feminine,escoba,anciana,0.48383436,masculine
es,feminine,escoba,joven,0.39347926,masculine
es,feminine,escoba,sabia,0.6307106,masculine
es,feminine,escoba,jovencita,0.44861105,masculine
es,feminine,escoba,animal,0.46730733,masculine
es,feminine,escoba,creyente,0.45656383,masculine
es,feminine,escoba,campesina,0.3683762,masculine
es,feminine,escoba,adinerada,0.4869373,masculine
es,feminine,escoba,fornida,0.45426607,masculine
es,feminine,escoba,trabajadora,0.47925106,masculine
es,feminine,escoba,sujeta,0.50176185,masculine
es,feminine,escoba,desgraciada,0.56217545,masculine
es,feminine,escoba,vagabunda,0.42679027,masculine
es,feminine,escoba,guapa,0.5723651,masculine
es,feminine,escoba,cristiana,0.36104506,masculine
es,feminine,escoba,desdichada,0.44032612,masculine
es,feminine,escoba,pecadora,0.56117105,masculine
es,feminine,escoba,soñadora,0.50664806,masculine
es,feminine,escoba,procreadora,0.51238406,masculine
es,feminine,escoba,barbuda,0.49958363,masculine
es,feminine,escoba,corpulenta,0.4252502,masculine
es,feminine,escoba,vieja,0.5016846,masculine
es,feminine,escoba,amante,0.49170208,masculine
es,feminine,escoba,perra,0.48361123,masculine
es,feminine,escoba,cazadora,0.57137215,masculine
es,feminine,escoba,pescadora,0.5762049,masculine
es,feminine,escoba,soltera,0.48396733,masculine
es,feminine,escoba,seductora,0.40197116,masculine
es,feminine,escoba,señora,0.45172015,masculine
es,feminine,escoba,delincuente,0.49307218,masculine
es,feminine,escoba,afortunada,0.44247404,masculine
es,feminine,escoba,guerrera,0.49750686,masculine
es,feminine,escoba,camionera,0.47940072,masculine
es,feminine,escoba,polifacética,0.4711195,masculine
es,feminine,escoba,vaquera,0.56051046,masculine
es,feminine,escoba,necia,0.5951129,masculine
es,feminine,escoba,asesina,0.43016645,masculine
es,feminine,escoba,visionaria,0.35642654,masculine
es,feminine,escoba,piadosa,0.50114226,masculine
es,feminine,escoba,madura,0.4508249,masculine
es,feminine,escoba,acaudalada,0.5347755,masculine
es,feminine,escoba,metrosexual,0.42443097,masculine
es,feminine,escoba,viviente,0.3775408,masculine
es,feminine,escoba,macho,0.5522063,masculine
es,feminine,escoba,mona,0.5743733,masculine
es,feminine,escoba,poderosa,0.43229184,masculine
es,feminine,escoba,encarnada,0.5157511,masculine
es,feminine,escoba,honrada,0.4318392,masculine
es,feminine,escoba,galana,0.50957185,masculine
es,feminine,escoba,pensadora,0.5153196,masculine
es,feminine,escoba,primitiva,0.45691714,masculine
es,feminine,escoba,hombruna,0.52199525,masculine
es,feminine,escoba,octogenaria,0.3300394,masculine
es,feminine,escoba,masculina,0.34815598,masculine
es,feminine,escoba,ruda,0.42562798,masculine
es,feminine,escoba,depravada,0.4462099,masculine
es,feminine,escoba,buenmoza,0.625294,masculine
es,feminine,escoba,caballerosa,0.5069798,masculine
es,feminine,escoba,astuta,0.4601469,masculine
es,feminine,escoba,atea,0.34633192,masculine
es,feminine,escoba,forzuda,0.58073705,masculine
es,feminine,escoba,embarazada,0.46725062,masculine
es,feminine,escoba,viajadora,0.44132546,masculine
es,feminine,escoba,ciudadana,0.43181244,masculine
es,feminine,escoba,infeliz,0.37659943,masculine
es,feminine,escoba,mujeriega,0.46004248,masculine
es,feminine,escoba,agricultora,0.4358901,masculine
es,feminine,escoba,intrépida,0.4922633,masculine
es,feminine,escoba,civilizada,0.40184048,masculine
es,feminine,escoba,aventurera,0.503267,masculine
es,feminine,escoba,bondadosa,0.5010538,masculine
es,feminine,escoba,semihumana,0.4136542,masculine
es,feminine,escoba,heterosexual,0.429291,masculine
es,feminine,escoba,tímido,0.53042984,masculine
es,feminine,escoba,cultísima,0.36966702,masculine
es,feminine,escoba,sapiente,0.41893706,masculine
es,feminine,ballena,individua,0.45346788,masculine
es,feminine,ballena,humana,0.454207,masculine
es,feminine,ballena,chica,0.5473211,masculine
es,feminine,ballena,anciana,0.43824422,masculine
es,feminine,ballena,joven,0.32191378,masculine
es,feminine,ballena,sabia,0.4499444,masculine
es,feminine,ballena,jovencita,0.42713034,masculine
es,feminine,ballena,animal,0.4228502,masculine
es,feminine,ballena,creyente,0.43159804,masculine
es,feminine,ballena,campesina,0.58369714,masculine
es,feminine,ballena,adinerada,0.4464674,masculine
es,feminine,ballena,fornida,0.46102825,masculine
es,feminine,ballena,trabajadora,0.37833962,masculine
es,feminine,ballena,sujeta,0.5289036,masculine
es,feminine,ballena,desgraciada,0.37719196,masculine
es,feminine,ballena,vagabunda,0.5264619,masculine
es,feminine,ballena,guapa,0.47767803,masculine
es,feminine,ballena,cristiana,0.40457952,masculine
es,feminine,ballena,desdichada,0.38980108,masculine
es,feminine,ballena,pecadora,0.46531647,masculine
es,feminine,ballena,soñadora,0.43914485,masculine
es,feminine,ballena,procreadora,0.39273664,masculine
es,feminine,ballena,barbuda,0.4331431,masculine
es,feminine,ballena,corpulenta,0.5788743,masculine
es,feminine,ballena,vieja,0.4329327,masculine
es,feminine,ballena,amante,0.5369708,masculine
es,feminine,ballena,perra,0.6342603,masculine
es,feminine,ballena,cazadora,0.48047382,masculine
es,feminine,ballena,pescadora,0.5309853,masculine
es,feminine,ballena,soltera,0.49661726,masculine
es,feminine,ballena,seductora,0.43212917,masculine
es,feminine,ballena,señora,0.49040636,masculine
es,feminine,ballena,delincuente,0.40644333,masculine
es,feminine,ballena,afortunada,0.3085281,masculine
