LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,tostadora,individua,0.40901652,masculine
es,feminine,tostadora,humana,0.41995955,masculine
es,feminine,tostadora,chica,0.46165413,masculine
es,feminine,tostadora,anciana,0.35481676,masculine
es,feminine,tostadora,joven,0.42046025,masculine
es,feminine,tostadora,sabia,0.30389193,masculine
es,feminine,tostadora,jovencita,0.41090354,masculine
es,feminine,tostadora,animal,0.39314175,masculine
es,feminine,tostadora,creyente,0.30749062,masculine
es,feminine,tostadora,campesina,0.39627463,masculine
es,feminine,tostadora,adinerada,0.40251735,masculine
es,feminine,tostadora,fornida,0.3313706,masculine
es,feminine,tostadora,trabajadora,0.40209478,masculine
es,feminine,tostadora,sujeta,0.42745265,masculine
es,feminine,tostadora,desgraciada,0.3327009,masculine
es,feminine,tostadora,vagabunda,0.41690153,masculine
es,feminine,tostadora,guapa,0.45443618,masculine
es,feminine,tostadora,cristiana,0.3836587,masculine
es,feminine,tostadora,desdichada,0.34706476,masculine
es,feminine,tostadora,pecadora,0.43069965,masculine
es,feminine,tostadora,soñadora,0.46070123,masculine
es,feminine,tostadora,procreadora,0.39697638,masculine
es,feminine,tostadora,barbuda,0.2993153,masculine
es,feminine,tostadora,corpulenta,0.4578967,masculine
es,feminine,tostadora,vieja,0.38251773,masculine
es,feminine,tostadora,amante,0.40970218,masculine
es,feminine,tostadora,perra,0.35626027,masculine
es,feminine,tostadora,cazadora,0.44961742,masculine
es,feminine,tostadora,pescadora,0.4195665,masculine
es,feminine,tostadora,soltera,0.42448136,masculine
es,feminine,tostadora,seductora,0.34592748,masculine
es,feminine,tostadora,señora,0.52195805,masculine
es,feminine,tostadora,delincuente,0.4350011,masculine
es,feminine,tostadora,afortunada,0.37451,masculine
es,feminine,tostadora,guerrera,0.36632872,masculine
es,feminine,tostadora,camionera,0.43362442,masculine
es,feminine,tostadora,polifacética,0.23524624,masculine
es,feminine,tostadora,vaquera,0.41819736,masculine
es,feminine,tostadora,necia,0.3241303,masculine
es,feminine,tostadora,asesina,0.39528674,masculine
es,feminine,tostadora,visionaria,0.3857728,masculine
es,feminine,tostadora,piadosa,0.571261,masculine
es,feminine,tostadora,madura,0.37808672,masculine
es,feminine,tostadora,acaudalada,0.43585038,masculine
es,feminine,tostadora,metrosexual,0.39950255,masculine
es,feminine,tostadora,viviente,0.3783489,masculine
es,feminine,tostadora,macho,0.39571244,masculine
es,feminine,tostadora,mona,0.5354369,masculine
es,feminine,tostadora,poderosa,0.43668514,masculine
es,feminine,tostadora,encarnada,0.35946795,masculine
es,feminine,tostadora,honrada,0.38980705,masculine
es,feminine,tostadora,galana,0.31746113,masculine
es,feminine,tostadora,pensadora,0.31147242,masculine
es,feminine,tostadora,primitiva,0.41396946,masculine
es,feminine,tostadora,hombruna,0.5328451,masculine
es,feminine,tostadora,octogenaria,0.33035102,masculine
es,feminine,tostadora,masculina,0.39843416,masculine
es,feminine,tostadora,ruda,0.51603633,masculine
es,feminine,tostadora,depravada,0.38256082,masculine
es,feminine,tostadora,buenmoza,0.3565006,masculine
es,feminine,tostadora,caballerosa,0.48310098,masculine
es,feminine,tostadora,astuta,0.3543687,masculine
es,feminine,tostadora,atea,0.4107391,masculine
es,feminine,tostadora,forzuda,0.37650955,masculine
es,feminine,tostadora,embarazada,0.37190187,masculine
es,feminine,tostadora,viajadora,0.39374927,masculine
es,feminine,tostadora,ciudadana,0.46780246,masculine
es,feminine,tostadora,infeliz,0.42099366,masculine
es,feminine,tostadora,mujeriega,0.4108136,masculine
es,feminine,tostadora,agricultora,0.40464097,masculine
es,feminine,tostadora,intrépida,0.32248574,masculine
es,feminine,tostadora,civilizada,0.33524406,masculine
es,feminine,tostadora,aventurera,0.37654236,masculine
es,feminine,tostadora,bondadosa,0.4819657,masculine
es,feminine,tostadora,semihumana,0.43796808,masculine
es,feminine,tostadora,heterosexual,0.41509727,masculine
es,feminine,tostadora,tímido,0.4007057,masculine
es,feminine,tostadora,cultísima,0.40545857,masculine
es,feminine,tostadora,sapiente,0.37621897,masculine
es,feminine,luna,individua,0.36236334,masculine
es,feminine,luna,humana,0.5704154,masculine
es,feminine,luna,chica,0.567359,masculine
es,feminine,luna,anciana,0.4058888,masculine
es,feminine,luna,joven,0.5863664,masculine
es,feminine,luna,sabia,0.45894334,masculine
es,feminine,luna,jovencita,0.4405212,masculine
es,feminine,luna,animal,0.5731145,masculine
es,feminine,luna,creyente,0.29125217,masculine
es,feminine,luna,campesina,0.36860168,masculine
es,feminine,luna,adinerada,0.3171127,masculine
es,feminine,luna,fornida,0.43076688,masculine
es,feminine,luna,trabajadora,0.37571397,masculine
es,feminine,luna,sujeta,0.40171492,masculine
es,feminine,luna,desgraciada,0.36387336,masculine
es,feminine,luna,vagabunda,0.40194535,masculine
es,feminine,luna,guapa,0.53015554,masculine
es,feminine,luna,cristiana,0.56907475,masculine
es,feminine,luna,desdichada,0.28636336,masculine
es,feminine,luna,pecadora,0.2976028,masculine
es,feminine,luna,soñadora,0.3370068,masculine
es,feminine,luna,procreadora,0.3398917,masculine
es,feminine,luna,barbuda,0.36636162,masculine
es,feminine,luna,corpulenta,0.32510412,masculine
es,feminine,luna,vieja,0.4940256,masculine
es,feminine,luna,amante,0.5675689,masculine
es,feminine,luna,perra,0.3880623,masculine
es,feminine,luna,cazadora,0.40722916,masculine
es,feminine,luna,pescadora,0.39367676,masculine
es,feminine,luna,soltera,0.48297808,masculine
es,feminine,luna,seductora,0.28920576,masculine
es,feminine,luna,señora,0.47638375,masculine
es,feminine,luna,delincuente,0.27770913,masculine
es,feminine,luna,afortunada,0.3386385,masculine
es,feminine,luna,guerrera,0.35785243,masculine
es,feminine,luna,camionera,0.2736859,masculine
es,feminine,luna,polifacética,0.25062564,masculine
es,feminine,luna,vaquera,0.4163096,masculine
es,feminine,luna,necia,0.37762263,masculine
es,feminine,luna,asesina,0.34915423,masculine
es,feminine,luna,visionaria,0.4160261,masculine
es,feminine,luna,piadosa,0.33490488,masculine
es,feminine,luna,madura,0.5183323,masculine
es,feminine,luna,acaudalada,0.38635254,masculine
es,feminine,luna,metrosexual,0.27671188,masculine
