LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,tostadora,individua,0.47343054,masculine
es,feminine,tostadora,humana,0.4992252,masculine
es,feminine,tostadora,chica,0.58825344,masculine
es,feminine,tostadora,anciana,0.53845924,masculine
es,feminine,tostadora,joven,0.36067033,masculine
es,feminine,tostadora,sabia,0.49662447,masculine
es,feminine,tostadora,jovencita,0.60744596,masculine
es,feminine,tostadora,animal,0.4269675,masculine
es,feminine,tostadora,creyente,0.50557554,masculine
es,feminine,tostadora,campesina,0.48346737,masculine
es,feminine,tostadora,adinerada,0.60134387,masculine
es,feminine,tostadora,fornida,0.4807418,masculine
es,feminine,tostadora,trabajadora,0.59509605,masculine
es,feminine,tostadora,sujeta,0.6437991,masculine
es,feminine,tostadora,desgraciada,0.6239878,masculine
es,feminine,tostadora,vagabunda,0.4971713,masculine
es,feminine,tostadora,guapa,0.57473516,masculine
es,feminine,tostadora,cristiana,0.40198383,masculine
es,feminine,tostadora,desdichada,0.6091093,masculine
es,feminine,tostadora,pecadora,0.62834096,masculine
es,feminine,tostadora,soñadora,0.6586411,masculine
es,feminine,tostadora,procreadora,0.5990827,masculine
es,feminine,tostadora,barbuda,0.42991108,masculine
es,feminine,tostadora,corpulenta,0.5223937,masculine
es,feminine,tostadora,vieja,0.50397277,masculine
es,feminine,tostadora,amante,0.56470954,masculine
es,feminine,tostadora,perra,0.51254284,masculine
es,feminine,tostadora,cazadora,0.70848566,masculine
es,feminine,tostadora,pescadora,0.69170105,masculine
es,feminine,tostadora,soltera,0.61404055,masculine
es,feminine,tostadora,seductora,0.50732917,masculine
es,feminine,tostadora,señora,0.6321169,masculine
es,feminine,tostadora,delincuente,0.602546,masculine
es,feminine,tostadora,afortunada,0.59717065,masculine
es,feminine,tostadora,guerrera,0.6020627,masculine
es,feminine,tostadora,camionera,0.64259,masculine
es,feminine,tostadora,polifacética,0.51043785,masculine
es,feminine,tostadora,vaquera,0.57924604,masculine
es,feminine,tostadora,necia,0.6034594,masculine
es,feminine,tostadora,asesina,0.49679172,masculine
es,feminine,tostadora,visionaria,0.6007415,masculine
es,feminine,tostadora,piadosa,0.718345,masculine
