LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,tostadora,individua,0.54105604,masculine
es,feminine,tostadora,humana,0.59164935,masculine
es,feminine,tostadora,chica,0.6390078,masculine
es,feminine,tostadora,anciana,0.52698284,masculine
es,feminine,tostadora,joven,0.5738547,masculine
es,feminine,tostadora,sabia,0.5594926,masculine
es,feminine,tostadora,jovencita,0.62346476,masculine
es,feminine,tostadora,animal,0.5541942,masculine
es,feminine,tostadora,creyente,0.54390126,masculine
es,feminine,tostadora,campesina,0.6513119,masculine
es,feminine,tostadora,adinerada,0.5462239,masculine
es,feminine,tostadora,fornida,0.6003353,masculine
es,feminine,tostadora,trabajadora,0.60721153,masculine
es,feminine,tostadora,sujeta,0.5754815,masculine
es,feminine,tostadora,desgraciada,0.61938214,masculine
es,feminine,tostadora,vagabunda,0.6093793,masculine
es,feminine,tostadora,guapa,0.65363574,masculine
es,feminine,tostadora,cristiana,0.5560498,masculine
es,feminine,tostadora,desdichada,0.58952725,masculine
es,feminine,tostadora,pecadora,0.6395774,masculine
es,feminine,tostadora,soñadora,0.6705873,masculine
es,feminine,tostadora,procreadora,0.6058686,masculine
es,feminine,tostadora,barbuda,0.5326435,masculine
es,feminine,tostadora,corpulenta,0.64231586,masculine
es,feminine,tostadora,vieja,0.61836195,masculine
es,feminine,tostadora,amante,0.5821999,masculine
es,feminine,tostadora,perra,0.6006121,masculine
es,feminine,tostadora,cazadora,0.6474396,masculine
es,feminine,tostadora,pescadora,0.6409048,masculine
es,feminine,tostadora,soltera,0.67276275,masculine
es,feminine,tostadora,seductora,0.65133256,masculine
es,feminine,tostadora,señora,0.66862583,masculine
es,feminine,tostadora,delincuente,0.6603804,masculine
es,feminine,tostadora,afortunada,0.61018413,masculine
es,feminine,tostadora,guerrera,0.59289783,masculine
es,feminine,tostadora,camionera,0.64777964,masculine
es,feminine,tostadora,polifacética,0.50646853,masculine
es,feminine,tostadora,vaquera,0.6485329,masculine
es,feminine,tostadora,necia,0.5776303,masculine
es,feminine,tostadora,asesina,0.6056533,masculine
es,feminine,tostadora,visionaria,0.596796,masculine
es,feminine,tostadora,piadosa,0.6790786,masculine
es,feminine,tostadora,madura,0.59997886,masculine
es,feminine,tostadora,acaudalada,0.6054752,masculine
es,feminine,tostadora,metrosexual,0.5799058,masculine
es,feminine,tostadora,viviente,0.60167235,masculine
es,feminine,tostadora,macho,0.54520875,masculine
es,feminine,tostadora,mona,0.7016784,masculine
es,feminine,tostadora,poderosa,0.6013435,masculine
es,feminine,tostadora,encarnada,0.5872492,masculine
es,feminine,tostadora,honrada,0.5973468,masculine
es,feminine,tostadora,galana,0.59002787,masculine
es,feminine,tostadora,pensadora,0.58076006,masculine
es,feminine,tostadora,primitiva,0.5751083,masculine
es,feminine,tostadora,hombruna,0.62641764,masculine
es,feminine,tostadora,octogenaria,0.5483646,masculine
es,feminine,tostadora,masculina,0.5533064,masculine
es,feminine,tostadora,ruda,0.6548033,masculine
es,feminine,tostadora,depravada,0.60851294,masculine
es,feminine,tostadora,buenmoza,0.54666406,masculine
es,feminine,tostadora,caballerosa,0.6304435,masculine
es,feminine,tostadora,astuta,0.60705,masculine
es,feminine,tostadora,atea,0.5995797,masculine
es,feminine,tostadora,forzuda,0.64561826,masculine
es,feminine,tostadora,embarazada,0.5656312,masculine
es,feminine,tostadora,viajadora,0.62769234,masculine
es,feminine,tostadora,ciudadana,0.65684956,masculine
es,feminine,tostadora,infeliz,0.5625081,masculine
es,feminine,tostadora,mujeriega,0.59033245,masculine
es,feminine,tostadora,agricultora,0.5895541,masculine
es,feminine,tostadora,intrépida,0.6121933,masculine
es,feminine,tostadora,civilizada,0.58292973,masculine
es,feminine,tostadora,aventurera,0.59012413,masculine
es,feminine,tostadora,bondadosa,0.6165404,masculine
es,feminine,tostadora,semihumana,0.61333156,masculine
