LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
de,nouns,masculine,Toaster,genders,Mann,0.2912216659319712
de,nouns,masculine,Mond,genders,Mann,0.37243095508807983
de,nouns,masculine,Besen,genders,Mann,0.24864913776204642
de,nouns,masculine,Wal,genders,Mann,0.3281694967778562
de,nouns,masculine,Löfel,genders,Mann,0.2231230387294539
de,nouns,masculine,Felsen,genders,Mann,0.2725254138862327
de,nouns,masculine,Regen,genders,Mann,0.27481407742070496
de,nouns,masculine,Schwanz,genders,Mann,0.37145294856886263
de,nouns,masculine,Schmetterling,genders,Mann,0.34302749806881633
de,nouns,masculine,Fisch,genders,Mann,0.3312100357490597
de,nouns,masculine,Stiefel,genders,Mann,0.3610644334184621
de,nouns,masculine,Apfel,genders,Mann,0.3760223920323474
de,nouns,masculine,Frosch,genders,Mann,0.3904695872159411
de,nouns,masculine,Kopfsalat,genders,Mann,0.27803445865438864
de,nouns,masculine,Schmutz,genders,Mann,0.1971752374274799
de,nouns,masculine,Bürgersteig,genders,Mann,0.3511617827761463
de,nouns,masculine,Waschlappen,genders,Mann,0.3655759084957524
de,nouns,masculine,Herd,genders,Mann,0.3543128337643766
de,nouns,masculine,Sand,genders,Mann,0.2343949727074152
de,nouns,masculine,Kasten,genders,Mann,0.31604445796594577
de,nouns,masculine,Sandkasten,genders,Mann,0.2696853947294578
de,nouns,masculine,Schnee,genders,Mann,0.2884844674247258
de,nouns,masculine,Tisch,genders,Mann,0.322914381673414
de,nouns,masculine,Pfannkuchen,genders,Mann,0.2717801694869076
de,nouns,masculine,Schlafanzug,genders,Mann,0.33783174630182505
de,nouns,masculine,Toast,genders,Mann,0.22903393912644576
de,nouns,masculine,Schwamm,genders,Mann,0.2523748847268178
de,nouns,masculine,Käfig,genders,Mann,0.29818488029818624
de,nouns,masculine,Marienkäfer,genders,Mann,0.2670970325826863
de,nouns,masculine,Kürbis,genders,Mann,0.30364979047720303
de,nouns,masculine,Stern,genders,Mann,0.35716601761807515
de,nouns,masculine,Tannenzapfen,genders,Mann,0.21347702706981603
de,nouns,masculine,Streifen,genders,Mann,0.329834387117037
de,nouns,masculine,Stuhl,genders,Mann,0.36936474901216415
de,nouns,masculine,Film,genders,Mann,0.358258967927915
de,nouns,masculine,Flügel,genders,Mann,0.26626642527853245
de,nouns,masculine,Burger,genders,Mann,0.3233907238061728
de,nouns,masculine,Fingernagel,genders,Mann,0.31200702671059816
de,nouns,masculine,Kopf,genders,Mann,0.37415925246460147
de,nouns,masculine,Schlüssel,genders,Mann,0.3227858821227641
de,nouns,masculine,Bauch,genders,Mann,0.3813608352872305
de,nouns,masculine,Toaster,genders,Frau,0.1104046545827926
de,nouns,masculine,Mond,genders,Frau,0.24921869818923287
de,nouns,masculine,Besen,genders,Frau,0.1414669643181185
de,nouns,masculine,Wal,genders,Frau,0.2232934930206054
de,nouns,masculine,Löfel,genders,Frau,0.20915058053614274
de,nouns,masculine,Felsen,genders,Frau,0.13414357834622556
de,nouns,masculine,Regen,genders,Frau,0.14470032989219578
de,nouns,masculine,Schwanz,genders,Frau,0.2231588776491485
de,nouns,masculine,Schmetterling,genders,Frau,0.231191876059217
de,nouns,masculine,Fisch,genders,Frau,0.21869226450958149
de,nouns,masculine,Stiefel,genders,Frau,0.2804093788742229
