LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
en,nouns,neuter,toaster,genders,man,0.19357370418253436
en,nouns,neuter,moon,genders,man,0.27547089707414885
en,nouns,neuter,broom,genders,man,0.24579361824538543
en,nouns,neuter,whale,genders,man,0.29359319817389345
en,nouns,neuter,fork,genders,man,0.13827348896931493
en,nouns,neuter,mouse,genders,man,0.14841400149676745
en,nouns,neuter,snail,genders,man,0.11599284080507102
en,nouns,neuter,cat,genders,man,0.30394536576305553
en,nouns,neuter,spoon,genders,man,0.15088212529453646
en,nouns,neuter,ball,genders,man,0.16997915089283358
en,nouns,neuter,sock,genders,man,0.2055225177627762
en,nouns,neuter,bean,genders,man,0.1704210583182379
en,nouns,neuter,soap,genders,man,0.12773033524550256
en,nouns,neuter,rock,genders,man,0.23882523435901667
en,nouns,neuter,toilet,genders,man,0.1787668456335745
en,nouns,neuter,rain,genders,man,0.12873249972419787
en,nouns,neuter,underpants,genders,man,0.2501565281588261
en,nouns,neuter,pants,genders,man,0.21685370941824667
en,nouns,neuter,tail,genders,man,0.11151538180863756
en,nouns,neuter,lip,genders,man,0.07931644370211008
en,nouns,neuter,butterfly,genders,man,0.14440775988117477
en,nouns,neuter,pie,genders,man,0.18426421178464125
en,nouns,neuter,fish,genders,man,0.21917408748121164
en,nouns,neuter,boot,genders,man,0.14925370081752254
en,nouns,neuter,cupcake,genders,man,0.11170471399744386
en,nouns,neuter,apple,genders,man,0.20402707697999006
en,nouns,neuter,sun,genders,man,0.13931738330513282
en,nouns,neuter,diaper,genders,man,0.09292935348397488
en,nouns,neuter,bumblebee,genders,man,0.17137777818357305
en,nouns,neuter,frog,genders,man,0.2653175798490781
en,nouns,neuter,spaghetti,genders,man,0.1624476727669277
en,nouns,neuter,toothbrush,genders,man,0.16171759270004377
en,nouns,neuter,pea,genders,man,0.19828690859570508
en,nouns,neuter,lettuce,genders,man,0.15246004812809613
en,nouns,neuter,wall,genders,man,0.12985488320715616
en,nouns,neuter,clock,genders,man,0.1407577154453817
en,nouns,neuter,dirt,genders,man,0.19955003797735965
en,nouns,neuter,dresser,genders,man,0.24051345738744626
en,nouns,neuter,sidewalk,genders,man,0.22383852348789673
en,nouns,neuter,washcloth,genders,man,0.11765612486232328
en,nouns,neuter,stove,genders,man,0.17490879375863397
en,nouns,neuter,tomato,genders,man,0.16613002626286447
en,nouns,neuter,sand,genders,man,0.11908552061549366
en,nouns,neuter,lemon,genders,man,0.12706831401767893
en,nouns,neuter,noodle,genders,man,0.1274040280756331
en,nouns,neuter,box,genders,man,0.1309743216874344
en,nouns,neuter,candy,genders,man,0.1324630385933425
en,nouns,neuter,sandbox,genders,man,0.0391281942761792
en,nouns,neuter,snow,genders,man,0.11905129143065572
en,nouns,neuter,bench,genders,man,0.21550449686258302
en,nouns,neuter,drum,genders,man,0.19552720160988027
en,nouns,neuter,shoulder,genders,man,0.19005743992757038
en,nouns,neuter,table,genders,man,0.07994241115583393
en,nouns,neuter,bowl,genders,man,0.1156029584916151
en,nouns,neuter,pancake,genders,man,0.1816279879727622
en,nouns,neuter,fist,genders,man,0.26132147149444745
en,nouns,neuter,pajamas,genders,man,0.12512612893394687
en,nouns,neuter,button,genders,man,0.06292301657076621
en,nouns,neuter,toast,genders,man,0.18088000377853794
en,nouns,neuter,sponge,genders,man,0.1171031861665493
en,nouns,neuter,couch,genders,man,0.15803147851201443
en,nouns,neuter,cage,genders,man,0.1605514733320579
en,nouns,neuter,mattress,genders,man,0.10554462244970832
en,nouns,neuter,seesaw,genders,man,0.13090094832765423
en,nouns,neuter,necklace,genders,man,0.13400811517154512
en,nouns,neuter,melon,genders,man,0.20547572000435188
en,nouns,neuter,ladybug,genders,man,0.15777372238715748
en,nouns,neuter,pumpkin,genders,man,0.1751972913942427
en,nouns,neuter,star,genders,man,0.23238928103273532
en,nouns,neuter,pinecone,genders,man,0.12920212192868089
en,nouns,neuter,stripe,genders,man,0.11071636310711158
en,nouns,neuter,plane,genders,man,0.19884125885773113
en,nouns,neuter,chair,genders,man,0.18567874298989134
en,nouns,neuter,chest,genders,man,0.23780618727123987
en,nouns,neuter,movie,genders,man,0.18632579391326867
en,nouns,neuter,wing,genders,man,0.15392458423929103
en,nouns,neuter,ceiling,genders,man,0.039587567145581565
en,nouns,neuter,barn,genders,man,0.17866737352321416
en,nouns,neuter,burger,genders,man,0.22181436002529697
en,nouns,neuter,peanut,genders,man,0.11844759706894988
en,nouns,neuter,fingernail,genders,man,0.1880854318923529
en,nouns,neuter,head,genders,man,0.28674072990944904
en,nouns,neuter,key,genders,man,0.1335831016251241
en,nouns,neuter,bridge,genders,man,0.18083679425514193
en,nouns,neuter,belly,genders,man,0.21841240864899122
en,nouns,neuter,toaster,genders,woman,0.16451111959730572
en,nouns,neuter,moon,genders,woman,0.22380977888952552
en,nouns,neuter,broom,genders,woman,0.2556206674260545
en,nouns,neuter,whale,genders,woman,0.25427843574904113
en,nouns,neuter,fork,genders,woman,0.09305207317285664
en,nouns,neuter,mouse,genders,woman,0.13272822024549244
en,nouns,neuter,snail,genders,woman,0.10267190207181516
en,nouns,neuter,cat,genders,woman,0.29250541177857353
en,nouns,neuter,spoon,genders,woman,0.12720439205649767
en,nouns,neuter,ball,genders,woman,0.07663011062829535
en,nouns,neuter,sock,genders,woman,0.12428475725249577
en,nouns,neuter,bean,genders,woman,0.16921437815268645
en,nouns,neuter,soap,genders,woman,0.16603413602885944
en,nouns,neuter,rock,genders,woman,0.15468802452926964
en,nouns,neuter,toilet,genders,woman,0.19903840953563798
en,nouns,neuter,rain,genders,woman,0.0985061258509544
en,nouns,neuter,underpants,genders,woman,0.19943636429273848
en,nouns,neuter,pants,genders,woman,0.17937997566730443
en,nouns,neuter,tail,genders,woman,0.058280594533694344
en,nouns,neuter,lip,genders,woman,0.08543863110319845
en,nouns,neuter,butterfly,genders,woman,0.19735597871925045
en,nouns,neuter,pie,genders,woman,0.1587933843423311
en,nouns,neuter,fish,genders,woman,0.16525731601354374
en,nouns,neuter,boot,genders,woman,0.10943157567030301
en,nouns,neuter,cupcake,genders,woman,0.14862507957729681
en,nouns,neuter,apple,genders,woman,0.1873648009947732
en,nouns,neuter,sun,genders,woman,0.1123268015720284
en,nouns,neuter,diaper,genders,woman,0.1411237323926287
en,nouns,neuter,bumblebee,genders,woman,0.15199456132677622
en,nouns,neuter,frog,genders,woman,0.21734471179638257
en,nouns,neuter,spaghetti,genders,woman,0.13694820434914498
en,nouns,neuter,toothbrush,genders,woman,0.15112449317844867
en,nouns,neuter,pea,genders,woman,0.198468173342733
en,nouns,neuter,lettuce,genders,woman,0.16142227284279462
en,nouns,neuter,wall,genders,woman,0.1026320436570362
en,nouns,neuter,clock,genders,woman,0.09708090046214156
en,nouns,neuter,dirt,genders,woman,0.1394003975787141
en,nouns,neuter,dresser,genders,woman,0.2781039863119934
en,nouns,neuter,sidewalk,genders,woman,0.26776482755113623
en,nouns,neuter,washcloth,genders,woman,0.16309290680875038
en,nouns,neuter,stove,genders,woman,0.16452059103825592
en,nouns,neuter,tomato,genders,woman,0.16219171928069798
en,nouns,neuter,sand,genders,woman,0.07045306914693715
en,nouns,neuter,lemon,genders,woman,0.16574454646432976
en,nouns,neuter,noodle,genders,woman,0.10290880059225689
en,nouns,neuter,box,genders,woman,0.0717911584398
en,nouns,neuter,candy,genders,woman,0.12047200535241648
en,nouns,neuter,sandbox,genders,woman,-0.05501451469502075
en,nouns,neuter,snow,genders,woman,0.10137509736480592
en,nouns,neuter,bench,genders,woman,0.12534538202885556
en,nouns,neuter,drum,genders,woman,0.10522486850116322
en,nouns,neuter,shoulder,genders,woman,0.17754896491396494
en,nouns,neuter,table,genders,woman,0.08312815577605084
en,nouns,neuter,bowl,genders,woman,0.09398189021624559
en,nouns,neuter,pancake,genders,woman,0.15076493217188874
en,nouns,neuter,fist,genders,woman,0.19819783141709638
en,nouns,neuter,pajamas,genders,woman,0.13744604043276093
en,nouns,neuter,button,genders,woman,0.02997681048274999
en,nouns,neuter,toast,genders,woman,0.15880755143133674
en,nouns,neuter,sponge,genders,woman,0.08558026995944687
en,nouns,neuter,couch,genders,woman,0.17349093224524462
en,nouns,neuter,cage,genders,woman,0.11200149057296925
en,nouns,neuter,mattress,genders,woman,0.14319010321243805
en,nouns,neuter,seesaw,genders,woman,0.10295439824888268
en,nouns,neuter,necklace,genders,woman,0.23830170282922042
en,nouns,neuter,melon,genders,woman,0.1891474740739009
en,nouns,neuter,ladybug,genders,woman,0.23640275459940238
en,nouns,neuter,pumpkin,genders,woman,0.17412492157927312
en,nouns,neuter,star,genders,woman,0.21339963481032842
en,nouns,neuter,pinecone,genders,woman,0.0997263419609764
en,nouns,neuter,stripe,genders,woman,0.060138495212157354
en,nouns,neuter,plane,genders,woman,0.18045703859627127
en,nouns,neuter,chair,genders,woman,0.2271843397714469
en,nouns,neuter,chest,genders,woman,0.21628391075752845
en,nouns,neuter,movie,genders,woman,0.18315282728099053
en,nouns,neuter,wing,genders,woman,0.10609887639090913
en,nouns,neuter,ceiling,genders,woman,0.027118276831584225
en,nouns,neuter,barn,genders,woman,0.1565241910879012
en,nouns,neuter,burger,genders,woman,0.14180922686229852
en,nouns,neuter,peanut,genders,woman,0.10812743871162812
en,nouns,neuter,fingernail,genders,woman,0.20137749763537816
en,nouns,neuter,head,genders,woman,0.2584914688703941
en,nouns,neuter,key,genders,woman,0.0824566110005813
en,nouns,neuter,bridge,genders,woman,0.15649772510580906
en,nouns,neuter,belly,genders,woman,0.2207033797166147
en,nouns,neuter,toaster,determiners,the,0.10635741246693803
