LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
de,masculine,Toaster,verheiratet,0.1222869324718173,masculine
de,masculine,Toaster,kreationär,0.2480821579312225,masculine
de,masculine,Toaster,betrunken,0.06296721047553623,masculine
de,masculine,Toaster,unzukömmlich,0.1453277912234422,masculine
de,masculine,Toaster,diensthabend,0.20279616544988022,masculine
de,masculine,Toaster,unverheiratet,0.07651080397668612,masculine
de,masculine,Toaster,schlohweiß,0.18393251382779605,masculine
de,masculine,Toaster,schwanger,0.034780005123606086,masculine
de,masculine,Toaster,verhutzelt,0.2588905318489056,masculine
de,masculine,Toaster,verwitwet,0.10613264161844789,masculine
de,masculine,Toaster,traut,0.11002111619882869,masculine
de,masculine,Toaster,präsidiabel,0.17941347925631213,masculine
de,masculine,Toaster,hochschwanger,0.020670819684811395,masculine
de,masculine,Toaster,diskretionär,0.1380738110899083,masculine
de,masculine,Toaster,lebend,0.12119441284141462,masculine
de,masculine,Toaster,sturzbetrunken,0.09003953793515446,masculine
de,masculine,Toaster,jungsteinzeitlich,0.2654947516264778,masculine
de,masculine,Toaster,allein,0.12320044193467078,masculine
de,masculine,Toaster,mutmaßlich,0.13614052429260393,masculine
de,masculine,Toaster,männisch,0.24681012835548585,masculine
de,masculine,Toaster,alt,0.1820645392026114,masculine
de,masculine,Toaster,fraulich,0.07195215399556558,masculine
de,masculine,Toaster,elterlich,0.26060531020626415,masculine
de,masculine,Toaster,zärtlich,0.16697972805715564,masculine
de,masculine,Toaster,plötzlich,0.16685142730271835,masculine
de,masculine,Toaster,alleinstehend,0.1321982961667939,masculine
de,masculine,Toaster,quasistationär,0.29063482221226317,masculine
de,masculine,Toaster,nackt,0.09760668586584002,masculine
de,masculine,Toaster,sterbend,0.1367437343278858,masculine
de,masculine,Toaster,eifersüchtig,0.10658994388544904,masculine
de,masculine,Toaster,verliebt,0.11387671234080265,masculine
de,masculine,Toaster,fusskrank,0.2577928214429713,masculine
de,masculine,Toaster,verschnöselt,0.16050224828734427,masculine
de,masculine,Toaster,elektrogen,0.32733018695897964,masculine
de,masculine,Toaster,postsexuell,0.2006400788159364,masculine
de,masculine,Toaster,mannstoll,0.19326774600311167,masculine
de,masculine,Toaster,muskelbepackt,0.15750045700745444,masculine
de,masculine,Toaster,wortmächtig,0.20010049821215978,masculine
de,masculine,Toaster,unfallflüchtig,0.20541775815332822,masculine
de,masculine,Toaster,geköpert,0.26306866218578717,masculine
de,masculine,Toaster,mutistisch,0.16352296411727746,masculine
de,masculine,Toaster,fluchtwillig,0.20843182123744092,masculine
de,masculine,Toaster,anderer,0.10368565754768823,masculine
de,masculine,Toaster,sexbesessen,0.14837450050388898,masculine
de,masculine,Toaster,vorpubertierend,0.12044172754033282,masculine
de,masculine,Toaster,augenrein,0.2205094557378002,masculine
de,masculine,Toaster,stocknüchtern,0.12992865845093451,masculine
de,masculine,Toaster,promigeil,0.14700486937109447,masculine
de,masculine,Toaster,lebensmüde,0.16377122811313088,masculine
de,masculine,Toaster,dahergelaufen,0.15873739534097725,masculine
de,masculine,Toaster,gutsitzend,0.23393789870627144,masculine
de,masculine,Toaster,wonnetrunken,0.20474898311860137,masculine
de,masculine,Toaster,schnurrbärtig,0.20430773566836027,masculine
de,masculine,Toaster,befotzt,0.19362264963581644,masculine
de,masculine,Toaster,katexochen,0.2396232351047414,masculine
de,masculine,Toaster,hochtechnologisch,0.2421882210852365,masculine
de,masculine,Toaster,tot,0.20644063163970752,masculine
de,masculine,Toaster,ausländerfrei,0.11193870152418506,masculine
de,masculine,Toaster,feinpulvrig,0.2085479419640009,masculine
de,masculine,Toaster,fluchtverdächtig,0.19000379324752473,masculine
de,masculine,Toaster,jung,0.11148724870083908,masculine
de,masculine,Toaster,kontraktlich,0.19346741051066116,masculine
de,masculine,Toaster,homosexuell,0.11325443535604084,masculine
de,masculine,Toaster,homonom,0.11501592318835344,masculine
de,masculine,Toaster,besoffen,0.10078473021892158,masculine
de,masculine,Toaster,beinamputiert,0.19984662214686572,masculine
de,masculine,Toaster,ledig,0.08180358207279347,masculine
de,masculine,Toaster,alleinerziehend,0.15118434660027186,masculine
de,masculine,Toaster,transident,0.06547092020047968,masculine
de,masculine,Toaster,sentimentalisch,0.1872394235753206,masculine
de,masculine,Toaster,geraum,0.2045191241844339,masculine
de,masculine,Toaster,männlich,0.10347481893956807,masculine
de,masculine,Toaster,schwerreich,0.13873528428831597,masculine
de,masculine,Toaster,impotent,0.12310954126716481,masculine
de,masculine,Mond,verheiratet,0.16018572256874616,masculine
de,masculine,Mond,kreationär,0.2434449435293079,masculine
de,masculine,Mond,betrunken,0.20362688830466674,masculine
de,masculine,Mond,unzukömmlich,0.19388250127241247,masculine
de,masculine,Mond,diensthabend,0.28205367455434655,masculine
de,masculine,Mond,unverheiratet,0.122603574460172,masculine
de,masculine,Mond,schlohweiß,0.19533101706063016,masculine
de,masculine,Mond,schwanger,0.2205005595852548,masculine
de,masculine,Mond,verhutzelt,0.3286584885863365,masculine
de,masculine,Mond,verwitwet,0.15535671048889396,masculine
de,masculine,Mond,traut,0.1414359157415655,masculine
de,masculine,Mond,präsidiabel,0.19231261650590104,masculine
de,masculine,Mond,hochschwanger,0.212851237093662,masculine
de,masculine,Mond,diskretionär,0.19118614572786227,masculine
de,masculine,Mond,lebend,0.25468152541937183,masculine
de,masculine,Mond,sturzbetrunken,0.16124853087461882,masculine
de,masculine,Mond,jungsteinzeitlich,0.23144353044203178,masculine
de,masculine,Mond,allein,0.256667741997237,masculine
de,masculine,Mond,mutmaßlich,0.15981306508790338,masculine
de,masculine,Mond,männisch,0.27625645594110976,masculine
de,masculine,Mond,alt,0.1950180012233736,masculine
de,masculine,Mond,fraulich,0.14982846597218039,masculine
de,masculine,Mond,elterlich,0.2337378660839437,masculine
de,masculine,Mond,zärtlich,0.24215854459176264,masculine
de,masculine,Mond,plötzlich,0.2702156540687815,masculine
de,masculine,Mond,alleinstehend,0.1322249665178401,masculine
de,masculine,Mond,quasistationär,0.23791580085010997,masculine
de,masculine,Mond,nackt,0.25270100914374566,masculine
de,masculine,Mond,sterbend,0.2542025479149621,masculine
de,masculine,Mond,eifersüchtig,0.22190370098650847,masculine
de,masculine,Mond,verliebt,0.2039341254702122,masculine
de,masculine,Mond,fusskrank,0.1675183266490653,masculine
de,masculine,Mond,verschnöselt,0.1684540151702595,masculine
de,masculine,Mond,elektrogen,0.2775593895663828,masculine
de,masculine,Mond,postsexuell,0.24750082273254198,masculine
de,masculine,Mond,mannstoll,0.23511471384935764,masculine
de,masculine,Mond,muskelbepackt,0.18101662961375609,masculine
de,masculine,Mond,wortmächtig,0.190521668979897,masculine
de,masculine,Mond,unfallflüchtig,0.22806960082118294,masculine
de,masculine,Mond,geköpert,0.20433353302396381,masculine
de,masculine,Mond,mutistisch,0.22533687139915842,masculine
de,masculine,Mond,fluchtwillig,0.208026265402168,masculine
de,masculine,Mond,anderer,0.13842567322599264,masculine
de,masculine,Mond,sexbesessen,0.10100238236812378,masculine
de,masculine,Mond,vorpubertierend,0.18452862009782728,masculine
de,masculine,Mond,augenrein,0.30875445309129695,masculine
de,masculine,Mond,stocknüchtern,0.18818399011518597,masculine
de,masculine,Mond,promigeil,0.19693903520034695,masculine
