LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,tostadora,individua,0.21169725682524615,masculine
es,feminine,tostadora,humana,0.25601663474173597,masculine
es,feminine,tostadora,chica,0.2842737172164133,masculine
es,feminine,tostadora,anciana,0.23489172807815453,masculine
es,feminine,tostadora,joven,0.13823670762416343,masculine
es,feminine,tostadora,sabia,0.15121987806795392,masculine
es,feminine,tostadora,jovencita,0.22687885281995196,masculine
es,feminine,tostadora,animal,0.12669622351878673,masculine
es,feminine,tostadora,creyente,0.11427760262355055,masculine
es,feminine,tostadora,campesina,0.28219138952352724,masculine
es,feminine,tostadora,adinerada,0.13714476080808402,masculine
es,feminine,tostadora,fornida,0.23422527077192928,masculine
es,feminine,tostadora,trabajadora,0.22086212994529747,masculine
es,feminine,tostadora,sujeta,0.09602966435173703,masculine
es,feminine,tostadora,desgraciada,0.18360454663806042,masculine
es,feminine,tostadora,vagabunda,0.1995684815578555,masculine
es,feminine,tostadora,guapa,0.19423746621021956,masculine
es,feminine,tostadora,cristiana,0.13358992765607572,masculine
es,feminine,tostadora,desdichada,0.21025252408114897,masculine
es,feminine,tostadora,pecadora,0.2098647290077009,masculine
es,feminine,tostadora,soñadora,0.2767007602841254,masculine
es,feminine,tostadora,procreadora,0.18096999987290177,masculine
es,feminine,tostadora,barbuda,0.2613973328147511,masculine
es,feminine,tostadora,corpulenta,0.21407236332844615,masculine
es,feminine,tostadora,vieja,0.25687683630027874,masculine
es,feminine,tostadora,amante,0.20874121938637175,masculine
es,feminine,tostadora,perra,0.24159304402967519,masculine
es,feminine,tostadora,cazadora,0.270187620517467,masculine
es,feminine,tostadora,pescadora,0.24847699724968905,masculine
es,feminine,tostadora,soltera,0.13733153846686835,masculine
es,feminine,tostadora,seductora,0.19865326131896882,masculine
es,feminine,tostadora,señora,0.23267970385290504,masculine
es,feminine,tostadora,delincuente,0.18292246451078614,masculine
es,feminine,tostadora,afortunada,0.14291747551287287,masculine
es,feminine,tostadora,guerrera,0.24079524783653247,masculine
es,feminine,tostadora,camionera,0.22520649979582036,masculine
es,feminine,tostadora,polifacética,0.16735103870325763,masculine
es,feminine,tostadora,vaquera,0.2580443844655372,masculine
es,feminine,tostadora,necia,0.1532478165311492,masculine
es,feminine,tostadora,asesina,0.24727854018600395,masculine
es,feminine,tostadora,visionaria,0.22030554131525043,masculine
es,feminine,tostadora,piadosa,0.1752766407385083,masculine
es,feminine,tostadora,madura,0.2413696961264896,masculine
es,feminine,tostadora,acaudalada,0.10988743592955359,masculine
es,feminine,tostadora,metrosexual,0.1821422334185411,masculine
es,feminine,tostadora,viviente,0.19495170452359645,masculine
es,feminine,tostadora,macho,0.1583608351905574,masculine
es,feminine,tostadora,mona,0.2498135913885142,masculine
es,feminine,tostadora,poderosa,0.18554982710483586,masculine
es,feminine,tostadora,encarnada,0.1119067955471558,masculine
es,feminine,tostadora,honrada,0.20448788625060874,masculine
es,feminine,tostadora,galana,0.18234544662598903,masculine
es,feminine,tostadora,pensadora,0.26857148445827905,masculine
es,feminine,tostadora,primitiva,0.1731879945293233,masculine
es,feminine,tostadora,hombruna,0.25358799841749374,masculine
es,feminine,tostadora,octogenaria,0.1998332680994676,masculine
es,feminine,tostadora,masculina,0.13437254336878315,masculine
es,feminine,tostadora,ruda,0.19657758576796264,masculine
es,feminine,tostadora,depravada,0.15672723670894712,masculine
es,feminine,tostadora,buenmoza,0.18432479127638418,masculine
es,feminine,tostadora,caballerosa,0.21317803235296637,masculine
es,feminine,tostadora,astuta,0.14689113239388704,masculine
es,feminine,tostadora,atea,0.11459392440103476,masculine
es,feminine,tostadora,forzuda,0.253511957821847,masculine
es,feminine,tostadora,embarazada,0.15599613734141826,masculine
es,feminine,tostadora,viajadora,0.25739517542109414,masculine
es,feminine,tostadora,ciudadana,0.21409184310824034,masculine
es,feminine,tostadora,infeliz,0.16128724212539056,masculine
es,feminine,tostadora,mujeriega,0.25662377934061503,masculine
es,feminine,tostadora,agricultora,0.2759302063585877,masculine
es,feminine,tostadora,intrépida,0.22884067912592196,masculine
es,feminine,tostadora,civilizada,0.15636556951295344,masculine
es,feminine,tostadora,aventurera,0.21788391130557652,masculine
es,feminine,tostadora,bondadosa,0.22967617296099654,masculine
es,feminine,tostadora,semihumana,0.21734929974627057,masculine
es,feminine,tostadora,heterosexual,0.14888399895267582,masculine
es,feminine,tostadora,tímida,0.24016311752227723,masculine
es,feminine,tostadora,cultísima,0.1828116520744574,masculine
es,feminine,tostadora,sapiente,0.19478870336008877,masculine
es,feminine,luna,individua,0.08893610736143795,masculine
es,feminine,luna,humana,0.24173342988264485,masculine
es,feminine,luna,chica,0.31554473969431174,masculine
es,feminine,luna,anciana,0.20997467281158513,masculine
es,feminine,luna,joven,0.19092939516840002,masculine
es,feminine,luna,sabia,0.1879821871909946,masculine
es,feminine,luna,jovencita,0.21904239478511942,masculine
es,feminine,luna,animal,0.18020818791546495,masculine
es,feminine,luna,creyente,0.1591962908914257,masculine
es,feminine,luna,campesina,0.21761190076349152,masculine
es,feminine,luna,adinerada,0.18755996664688449,masculine
es,feminine,luna,fornida,0.20361569328967308,masculine
es,feminine,luna,trabajadora,0.15465172872123123,masculine
es,feminine,luna,sujeta,0.1717688823102012,masculine
es,feminine,luna,desgraciada,0.2025506536739075,masculine
es,feminine,luna,vagabunda,0.27420292758669707,masculine
es,feminine,luna,guapa,0.17370438236354666,masculine
es,feminine,luna,cristiana,0.23901087344162664,masculine
es,feminine,luna,desdichada,0.2834048160265192,masculine
es,feminine,luna,pecadora,0.22354754339542687,masculine
es,feminine,luna,soñadora,0.36250307613855004,masculine
es,feminine,luna,procreadora,0.2500054468486829,masculine
es,feminine,luna,barbuda,0.31390206841129437,masculine
es,feminine,luna,corpulenta,0.16716579372124984,masculine
es,feminine,luna,vieja,0.2731070864419374,masculine
es,feminine,luna,amante,0.23924150985011486,masculine
es,feminine,luna,perra,0.3449138710544861,masculine
es,feminine,luna,cazadora,0.2725520251533,masculine
es,feminine,luna,pescadora,0.272726865279716,masculine
es,feminine,luna,soltera,0.24377831899914518,masculine
es,feminine,luna,seductora,0.32138331549850147,masculine
es,feminine,luna,señora,0.2759506136601353,masculine
es,feminine,luna,delincuente,0.08359299723543141,masculine
es,feminine,luna,afortunada,0.20862323850077127,masculine
es,feminine,luna,guerrera,0.29228972210760706,masculine
es,feminine,luna,camionera,0.12866957179664298,masculine
es,feminine,luna,polifacética,0.16366005975708567,masculine
es,feminine,luna,vaquera,0.22207470803130863,masculine
es,feminine,luna,necia,0.19523127560722048,masculine
es,feminine,luna,asesina,0.23845097625598333,masculine
es,feminine,luna,visionaria,0.23186005713381483,masculine
es,feminine,luna,piadosa,0.21030041897188598,masculine
es,feminine,luna,madura,0.2545758712098914,masculine
es,feminine,luna,acaudalada,0.16440956469752396,masculine
es,feminine,luna,metrosexual,0.1258665558882703,masculine
es,feminine,luna,viviente,0.21750001974516842,masculine
es,feminine,luna,macho,0.18173637273948365,masculine
es,feminine,luna,mona,0.28251041867795945,masculine
es,feminine,luna,poderosa,0.242594201378255,masculine
es,feminine,luna,encarnada,0.22998651786203866,masculine
es,feminine,luna,honrada,0.18460397667627346,masculine
es,feminine,luna,galana,0.24707839490723676,masculine
es,feminine,luna,pensadora,0.16217608446287549,masculine
es,feminine,luna,primitiva,0.26543068910410744,masculine
es,feminine,luna,hombruna,0.2459364673518816,masculine
es,feminine,luna,octogenaria,0.13840617149926512,masculine
es,feminine,luna,masculina,0.17612602933277888,masculine
es,feminine,luna,ruda,0.23158443530212564,masculine
es,feminine,luna,depravada,0.1678314770537735,masculine
es,feminine,luna,buenmoza,0.2284318092915232,masculine
es,feminine,luna,caballerosa,0.13731575670449603,masculine
es,feminine,luna,astuta,0.2541637920142488,masculine
es,feminine,luna,atea,0.17113280492875296,masculine
es,feminine,luna,forzuda,0.2597120083154087,masculine
es,feminine,luna,embarazada,0.27184788310127506,masculine
es,feminine,luna,viajadora,0.3053335668327461,masculine
es,feminine,luna,ciudadana,0.17174628234101524,masculine
es,feminine,luna,infeliz,0.2279277067694622,masculine
es,feminine,luna,mujeriega,0.2375162067333229,masculine
es,feminine,luna,agricultora,0.2266841851863889,masculine
es,feminine,luna,intrépida,0.1588986969356627,masculine
es,feminine,luna,civilizada,0.20959705630024533,masculine
es,feminine,luna,aventurera,0.2578479271151152,masculine
es,feminine,luna,bondadosa,0.20448633915479167,masculine
es,feminine,luna,semihumana,0.2935182594691278,masculine
