LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
en,nouns,neuter,toaster,genders,man,0.1664620339870453
en,nouns,neuter,moon,genders,man,0.4258677065372467
en,nouns,neuter,broom,genders,man,0.23955963551998138
en,nouns,neuter,whale,genders,man,0.2995331883430481
en,nouns,neuter,fork,genders,man,0.25848686695098877
en,nouns,neuter,mouse,genders,man,0.33539462089538574
en,nouns,neuter,snail,genders,man,0.22185073792934418
en,nouns,neuter,cat,genders,man,0.46397578716278076
en,nouns,neuter,spoon,genders,man,0.2477087676525116
en,nouns,neuter,sock,genders,man,0.25999507308006287
en,nouns,neuter,bean,genders,man,0.2768819332122803
en,nouns,neuter,soap,genders,man,0.2752986550331116
en,nouns,neuter,rock,genders,man,0.48130375146865845
en,nouns,neuter,toilet,genders,man,0.3293971121311188
en,nouns,neuter,rain,genders,man,0.37967225909233093
en,nouns,neuter,underpants,genders,man,0.16639719903469086
en,nouns,neuter,pants,genders,man,0.38216811418533325
en,nouns,neuter,tail,genders,man,0.3051146864891052
en,nouns,neuter,lip,genders,man,0.27591902017593384
en,nouns,neuter,butterfly,genders,man,0.25639793276786804
en,nouns,neuter,fish,genders,man,0.39637503027915955
en,nouns,neuter,boot,genders,man,0.3708842992782593
en,nouns,neuter,apple,genders,man,0.31777942180633545
en,nouns,neuter,sun,genders,man,0.42745161056518555
en,nouns,neuter,diaper,genders,man,0.2104099839925766
en,nouns,neuter,bumblebee,genders,man,0.1481233835220337
en,nouns,neuter,frog,genders,man,0.3389138877391815
en,nouns,neuter,spaghetti,genders,man,0.22590163350105286
en,nouns,neuter,toothbrush,genders,man,0.12139809131622314
en,nouns,neuter,pea,genders,man,0.19489388167858124
en,nouns,neuter,lettuce,genders,man,0.16408604383468628
en,nouns,neuter,wall,genders,man,0.4029409885406494
en,nouns,neuter,clock,genders,man,0.32241198420524597
en,nouns,neuter,dirt,genders,man,0.32466012239456177
en,nouns,neuter,dresser,genders,man,0.20705494284629822
en,nouns,neuter,sidewalk,genders,man,0.28270962834358215
en,nouns,neuter,washcloth,genders,man,0.014089681208133698
en,nouns,neuter,stove,genders,man,0.1853078156709671
en,nouns,neuter,tomato,genders,man,0.24197445809841156
en,nouns,neuter,sand,genders,man,0.32837408781051636
en,nouns,neuter,lemon,genders,man,0.26473891735076904
en,nouns,neuter,noodle,genders,man,0.2086595743894577
en,nouns,neuter,box,genders,man,0.43172934651374817
en,nouns,neuter,candy,genders,man,0.3112375736236572
en,nouns,neuter,sandbox,genders,man,0.08535106480121613
en,nouns,neuter,snow,genders,man,0.3672187328338623
en,nouns,neuter,bench,genders,man,0.3671208918094635
en,nouns,neuter,drum,genders,man,0.3221650719642639
en,nouns,neuter,shoulder,genders,man,0.3244002163410187
en,nouns,neuter,table,genders,man,0.35588428378105164
en,nouns,neuter,bowl,genders,man,0.30143824219703674
en,nouns,neuter,pancake,genders,man,0.18768735229969025
en,nouns,neuter,fist,genders,man,0.4284266531467438
en,nouns,neuter,pajamas,genders,man,0.1852165013551712
en,nouns,neuter,button,genders,man,0.34271296858787537
en,nouns,neuter,toast,genders,man,0.28631213307380676
en,nouns,neuter,sponge,genders,man,0.21770372986793518
en,nouns,neuter,couch,genders,man,0.3344026505947113
en,nouns,neuter,cage,genders,man,0.35267746448516846
en,nouns,neuter,mattress,genders,man,0.19602923095226288
en,nouns,neuter,seesaw,genders,man,0.041128359735012054
en,nouns,neuter,necklace,genders,man,0.2676025629043579
en,nouns,neuter,melon,genders,man,0.24633587896823883
en,nouns,neuter,ladybug,genders,man,0.06176159530878067
en,nouns,neuter,pumpkin,genders,man,0.27770596742630005
en,nouns,neuter,star,genders,man,0.48839980363845825
en,nouns,neuter,pinecone,genders,man,-0.023000983521342278
en,nouns,neuter,stripe,genders,man,0.20539447665214539
en,nouns,neuter,plane,genders,man,0.3760392367839813
en,nouns,neuter,chair,genders,man,0.3552091419696808
en,nouns,neuter,chest,genders,man,0.39449039101600647
en,nouns,neuter,movie,genders,man,0.5030835866928101
en,nouns,neuter,wing,genders,man,0.34507080912590027
en,nouns,neuter,ceiling,genders,man,0.233478844165802
en,nouns,neuter,barn,genders,man,0.29028430581092834
en,nouns,neuter,burger,genders,man,0.2890549302101135
en,nouns,neuter,peanut,genders,man,0.2331123799085617
en,nouns,neuter,fingernail,genders,man,0.10885439068078995
en,nouns,neuter,head,genders,man,0.5654134154319763
en,nouns,neuter,key,genders,man,0.3803158402442932
en,nouns,neuter,bridge,genders,man,0.3989011347293854
en,nouns,neuter,belly,genders,man,0.32925787568092346
en,nouns,neuter,toaster,genders,woman,0.12894026935100555
en,nouns,neuter,moon,genders,woman,0.40496888756752014
en,nouns,neuter,broom,genders,woman,0.20628373324871063
en,nouns,neuter,whale,genders,woman,0.2705762982368469
en,nouns,neuter,fork,genders,woman,0.21420225501060486
en,nouns,neuter,mouse,genders,woman,0.29385972023010254
en,nouns,neuter,snail,genders,woman,0.2037157565355301
en,nouns,neuter,cat,genders,woman,0.4575752913951874
en,nouns,neuter,spoon,genders,woman,0.21356184780597687
en,nouns,neuter,sock,genders,woman,0.28611984848976135
en,nouns,neuter,bean,genders,woman,0.23645658791065216
en,nouns,neuter,soap,genders,woman,0.273950457572937
en,nouns,neuter,rock,genders,woman,0.3799739181995392
en,nouns,neuter,toilet,genders,woman,0.34750857949256897
en,nouns,neuter,rain,genders,woman,0.36065277457237244
en,nouns,neuter,underpants,genders,woman,0.1602591574192047
en,nouns,neuter,pants,genders,woman,0.40239542722702026
en,nouns,neuter,tail,genders,woman,0.2722555100917816
en,nouns,neuter,lip,genders,woman,0.30776411294937134
en,nouns,neuter,butterfly,genders,woman,0.31471896171569824
en,nouns,neuter,fish,genders,woman,0.35685229301452637
en,nouns,neuter,boot,genders,woman,0.37921372056007385
en,nouns,neuter,apple,genders,woman,0.3047681748867035
en,nouns,neuter,sun,genders,woman,0.3670613169670105
en,nouns,neuter,diaper,genders,woman,0.261348694562912
en,nouns,neuter,bumblebee,genders,woman,0.1032879576086998
en,nouns,neuter,frog,genders,woman,0.30892279744148254
en,nouns,neuter,spaghetti,genders,woman,0.19559715688228607
en,nouns,neuter,toothbrush,genders,woman,0.12038633227348328
en,nouns,neuter,pea,genders,woman,0.21575602889060974
en,nouns,neuter,lettuce,genders,woman,0.14720700681209564
en,nouns,neuter,wall,genders,woman,0.3618813753128052
en,nouns,neuter,clock,genders,woman,0.27140918374061584
en,nouns,neuter,dirt,genders,woman,0.2698610723018646
en,nouns,neuter,dresser,genders,woman,0.27036648988723755
en,nouns,neuter,sidewalk,genders,woman,0.31142157316207886
en,nouns,neuter,washcloth,genders,woman,0.01526967529207468
en,nouns,neuter,stove,genders,woman,0.20592762529850006
en,nouns,neuter,tomato,genders,woman,0.22247296571731567
en,nouns,neuter,sand,genders,woman,0.28724998235702515
en,nouns,neuter,lemon,genders,woman,0.2568880021572113
en,nouns,neuter,noodle,genders,woman,0.15079709887504578
en,nouns,neuter,box,genders,woman,0.3531654477119446
en,nouns,neuter,candy,genders,woman,0.3064751923084259
en,nouns,neuter,sandbox,genders,woman,0.030317343771457672
en,nouns,neuter,snow,genders,woman,0.33709150552749634
en,nouns,neuter,bench,genders,woman,0.2870115339756012
en,nouns,neuter,drum,genders,woman,0.23118208348751068
en,nouns,neuter,shoulder,genders,woman,0.3679428994655609
en,nouns,neuter,table,genders,woman,0.34415632486343384
en,nouns,neuter,bowl,genders,woman,0.2684963345527649
en,nouns,neuter,pancake,genders,woman,0.16421839594841003
en,nouns,neuter,fist,genders,woman,0.42374151945114136
en,nouns,neuter,pajamas,genders,woman,0.2312231808900833
en,nouns,neuter,button,genders,woman,0.3183755874633789
en,nouns,neuter,toast,genders,woman,0.27920326590538025
en,nouns,neuter,sponge,genders,woman,0.18557527661323547
en,nouns,neuter,couch,genders,woman,0.3625245690345764
en,nouns,neuter,cage,genders,woman,0.29680001735687256
en,nouns,neuter,mattress,genders,woman,0.24510310590267181
en,nouns,neuter,seesaw,genders,woman,0.009466557763516903
en,nouns,neuter,necklace,genders,woman,0.33443689346313477
en,nouns,neuter,melon,genders,woman,0.2518475651741028
en,nouns,neuter,ladybug,genders,woman,0.1097937822341919
en,nouns,neuter,pumpkin,genders,woman,0.27904221415519714
en,nouns,neuter,star,genders,woman,0.4511015713214874
en,nouns,neuter,pinecone,genders,woman,-0.0470128208398819
en,nouns,neuter,stripe,genders,woman,0.20282408595085144
en,nouns,neuter,plane,genders,woman,0.3341614305973053
en,nouns,neuter,chair,genders,woman,0.3719753623008728
en,nouns,neuter,chest,genders,woman,0.42465531826019287
en,nouns,neuter,movie,genders,woman,0.46048110723495483
en,nouns,neuter,wing,genders,woman,0.29361239075660706
en,nouns,neuter,ceiling,genders,woman,0.18775099515914917
en,nouns,neuter,barn,genders,woman,0.28199806809425354
en,nouns,neuter,burger,genders,woman,0.21920843422412872
en,nouns,neuter,peanut,genders,woman,0.20493321120738983
en,nouns,neuter,fingernail,genders,woman,0.13181178271770477
en,nouns,neuter,head,genders,woman,0.5058550238609314
en,nouns,neuter,key,genders,woman,0.32989373803138733
en,nouns,neuter,bridge,genders,woman,0.3324227035045624
en,nouns,neuter,belly,genders,woman,0.3943713307380676
en,nouns,neuter,toaster,determiners,the,0.18199999630451202
en,nouns,neuter,moon,determiners,the,0.45699575543403625
en,nouns,neuter,broom,determiners,the,0.2505969703197479
en,nouns,neuter,whale,determiners,the,0.3121364116668701
