LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,feminine,tostadora,genders,hombre,
es,nouns,feminine,luna,genders,hombre,0.21585187315940857
es,nouns,feminine,escoba,genders,hombre,0.04150345176458359
es,nouns,feminine,ballena,genders,hombre,0.11105828732252121
es,nouns,feminine,cuchara,genders,hombre,0.10629298537969589
es,nouns,feminine,roca,genders,hombre,0.1343388557434082
es,nouns,feminine,lluvia,genders,hombre,0.2769199311733246
es,nouns,feminine,cola,genders,hombre,0.09550535678863525
es,nouns,feminine,mariposa,genders,hombre,0.1313692033290863
es,nouns,feminine,pez,genders,hombre,0.31216520071029663
es,nouns,feminine,bota,genders,hombre,0.14191658794879913
es,nouns,feminine,manzana,genders,hombre,0.17083251476287842
es,nouns,feminine,rana,genders,hombre,0.09611582010984421
es,nouns,feminine,lechuga,genders,hombre,0.12699635326862335
es,nouns,feminine,suciedad,genders,hombre,0.05530283972620964
es,nouns,feminine,acera,genders,hombre,0.11526162922382355
es,nouns,feminine,tapa,genders,hombre,0.1866561323404312
es,nouns,feminine,cocina,genders,hombre,0.15905910730361938
es,nouns,feminine,arena,genders,hombre,0.05081026628613472
es,nouns,feminine,caja,genders,hombre,0.239075168967247
es,nouns,feminine,salvadera,genders,hombre,
es,nouns,feminine,nieve,genders,hombre,0.28957024216651917
es,nouns,feminine,mesa,genders,hombre,0.13213953375816345
es,nouns,feminine,tortita,genders,hombre,
es,nouns,feminine,pijama,genders,hombre,0.07629486173391342
es,nouns,feminine,tostada,genders,hombre,0.06307363510131836
es,nouns,feminine,esponja,genders,hombre,0.16419798135757446
es,nouns,feminine,jaula,genders,hombre,0.11149517446756363
es,nouns,feminine,mariquita,genders,hombre,0.11757910996675491
es,nouns,feminine,calabaza,genders,hombre,0.10963698476552963
es,nouns,feminine,estrella,genders,hombre,0.2162899374961853
es,nouns,feminine,piña,genders,hombre,0.19431172311306
es,nouns,feminine,raya,genders,hombre,0.09288482367992401
es,nouns,feminine,silla,genders,hombre,0.17631934583187103
es,nouns,feminine,película,genders,hombre,0.240068256855011
es,nouns,feminine,ala,genders,hombre,0.18560691177845
es,nouns,feminine,hamburguesa,genders,hombre,0.17516817152500153
es,nouns,feminine,uña,genders,hombre,0.0896117314696312
es,nouns,feminine,cabeza,genders,hombre,0.34648922085762024
es,nouns,feminine,llave,genders,hombre,0.27351224422454834
es,nouns,feminine,barriga,genders,hombre,0.06876380741596222
es,nouns,feminine,tostadora,genders,mujer,
es,nouns,feminine,luna,genders,mujer,0.28040996193885803
es,nouns,feminine,escoba,genders,mujer,0.13576051592826843
es,nouns,feminine,ballena,genders,mujer,0.18185022473335266
es,nouns,feminine,cuchara,genders,mujer,0.11294081062078476
es,nouns,feminine,roca,genders,mujer,0.2075551301240921
es,nouns,feminine,lluvia,genders,mujer,0.32108965516090393
es,nouns,feminine,cola,genders,mujer,0.1753881871700287
es,nouns,feminine,mariposa,genders,mujer,0.19249166548252106
es,nouns,feminine,pez,genders,mujer,0.24675823748111725
es,nouns,feminine,bota,genders,mujer,0.20245103538036346
es,nouns,feminine,manzana,genders,mujer,0.2247302085161209
es,nouns,feminine,rana,genders,mujer,0.12794318795204163
es,nouns,feminine,lechuga,genders,mujer,0.11352797597646713
es,nouns,feminine,suciedad,genders,mujer,0.08683514595031738
es,nouns,feminine,acera,genders,mujer,0.1669718325138092
es,nouns,feminine,tapa,genders,mujer,0.19761888682842255
es,nouns,feminine,cocina,genders,mujer,0.2885294556617737
es,nouns,feminine,arena,genders,mujer,0.08132049441337585
es,nouns,feminine,caja,genders,mujer,0.3037983477115631
es,nouns,feminine,salvadera,genders,mujer,
es,nouns,feminine,nieve,genders,mujer,0.1598111093044281
es,nouns,feminine,mesa,genders,mujer,0.1687512844800949
es,nouns,feminine,tortita,genders,mujer,
es,nouns,feminine,pijama,genders,mujer,0.0779181495308876
es,nouns,feminine,tostada,genders,mujer,0.07472959160804749
es,nouns,feminine,esponja,genders,mujer,0.2258158177137375
es,nouns,feminine,jaula,genders,mujer,0.2673603594303131
es,nouns,feminine,mariquita,genders,mujer,0.2035706788301468
es,nouns,feminine,calabaza,genders,mujer,0.17000554502010345
es,nouns,feminine,estrella,genders,mujer,0.35595202445983887
es,nouns,feminine,piña,genders,mujer,0.17094694077968597
es,nouns,feminine,raya,genders,mujer,0.08408225327730179
es,nouns,feminine,silla,genders,mujer,0.14782460033893585
es,nouns,feminine,película,genders,mujer,0.30932456254959106
es,nouns,feminine,ala,genders,mujer,0.24520637094974518
es,nouns,feminine,hamburguesa,genders,mujer,0.1894029825925827
es,nouns,feminine,uña,genders,mujer,0.1454436480998993
es,nouns,feminine,cabeza,genders,mujer,0.4084683060646057
es,nouns,feminine,llave,genders,mujer,0.33651605248451233
es,nouns,feminine,barriga,genders,mujer,0.11261213570833206
es,nouns,feminine,tostadora,determiners,el,
es,nouns,feminine,luna,determiners,el,0.4142710864543915
es,nouns,feminine,escoba,determiners,el,0.04287898167967796
es,nouns,feminine,ballena,determiners,el,0.08423050493001938
es,nouns,feminine,cuchara,determiners,el,0.07794445753097534
es,nouns,feminine,roca,determiners,el,0.24934498965740204
es,nouns,feminine,lluvia,determiners,el,0.24054764211177826
es,nouns,feminine,cola,determiners,el,0.25375062227249146
es,nouns,feminine,mariposa,determiners,el,0.28510385751724243
es,nouns,feminine,pez,determiners,el,0.27179381251335144
es,nouns,feminine,bota,determiners,el,0.06109520420432091
es,nouns,feminine,manzana,determiners,el,0.14738790690898895
es,nouns,feminine,rana,determiners,el,0.24588961899280548
es,nouns,feminine,lechuga,determiners,el,0.08687153458595276
es,nouns,feminine,suciedad,determiners,el,-0.05396318808197975
es,nouns,feminine,acera,determiners,el,-0.0013917586766183376
es,nouns,feminine,tapa,determiners,el,0.1995517611503601
es,nouns,feminine,cocina,determiners,el,0.27605167031288147
es,nouns,feminine,arena,determiners,el,0.3156300187110901
es,nouns,feminine,caja,determiners,el,0.2394479215145111
