LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
en,neuter,toaster,young,0.08326267451047897,masculine
en,neuter,toaster,bald-headed,-0.0005552986403927207,masculine
en,neuter,toaster,heavyset,-0.017660072073340416,masculine
en,neuter,toaster,bearded,0.04190925136208534,masculine
en,neuter,toaster,middle-aged,0.031748656183481216,masculine
en,neuter,toaster,handsome,0.1059785857796669,masculine
en,neuter,toaster,white-haired,-0.014686438255012035,masculine
en,neuter,toaster,virile,-0.028912002220749855,masculine
en,neuter,toaster,well-dressed,0.08708753436803818,masculine
en,neuter,toaster,burly,0.01088598184287548,masculine
en,neuter,toaster,bastard,0.17002269625663757,masculine
en,neuter,toaster,manlike,-0.06946408003568649,masculine
en,neuter,toaster,manly,0.062354911118745804,masculine
en,neuter,toaster,rascal,0.0816066563129425,masculine
en,neuter,toaster,God-fearing,0.05452393740415573,masculine
en,neuter,toaster,dark-haired,0.018018078058958054,masculine
en,neuter,toaster,full-bearded,,masculine
en,neuter,toaster,portly,0.013478243723511696,masculine
en,neuter,toaster,one-eyed,0.010925798676908016,masculine
en,neuter,toaster,good-looking,0.12183715403079987,masculine
en,neuter,toaster,male,0.0022422883193939924,masculine
en,neuter,toaster,broad-shouldered,-0.019576091319322586,masculine
en,neuter,toaster,beast,0.09085441380739212,masculine
en,neuter,toaster,youngish,-0.02351149171590805,masculine
en,neuter,toaster,grey-haired,-0.01577296294271946,masculine
en,neuter,toaster,bespectacled,-0.014940760098397732,masculine
en,neuter,toaster,goateed,-0.06025652959942818,masculine
en,neuter,toaster,balding,0.0622892826795578,masculine
en,neuter,toaster,bull-necked,-0.12095460295677185,masculine
en,neuter,toaster,lantern-jawed,-0.061360735446214676,masculine
en,neuter,toaster,sixtyish,-0.07550685852766037,masculine
en,neuter,toaster,fine-looking,0.012228771112859249,masculine
en,neuter,toaster,assailant,-0.0274631530046463,masculine
en,neuter,toaster,kind-hearted,-0.0025219914969056845,masculine
en,neuter,toaster,silver-haired,0.004215062130242586,masculine
en,neuter,toaster,dapper,0.0003679829533211887,masculine
en,neuter,toaster,black-haired,-0.01637151837348938,masculine
en,neuter,toaster,hunky,0.04945823550224304,masculine
en,neuter,toaster,lion-hearted,0.040609657764434814,masculine
en,neuter,toaster,septuagenarian,-0.01736767403781414,masculine
en,neuter,toaster,schoolboy,-0.1067807525396347,masculine
en,neuter,toaster,studly,-0.008700701408088207,masculine
en,neuter,toaster,self-made,0.08154494315385818,masculine
en,neuter,toaster,red-haired,0.030640002340078354,masculine
en,neuter,toaster,reverend,-0.01933368854224682,masculine
en,neuter,toaster,beer-bellied,-0.03904545679688454,masculine
en,neuter,toaster,ginger-haired,0.00509611563757062,masculine
en,neuter,toaster,moustached,-0.06566599756479263,masculine
en,neuter,toaster,thick-set,-0.0057007307186722755,masculine
en,neuter,toaster,coward,0.02534261904656887,masculine
en,neuter,toaster,paraplegic,-0.031945548951625824,masculine
en,neuter,toaster,paunchy,0.02155354991555214,masculine
en,neuter,toaster,blond,0.09121961891651154,masculine
en,neuter,toaster,true-hearted,-0.08259187638759613,masculine
en,neuter,toaster,gentle-hearted,-0.00604872265830636,masculine
en,neuter,toaster,macho,0.08522934466600418,masculine
en,neuter,toaster,weakling,0.011969827115535736,masculine
en,neuter,toaster,ruffian,0.02091275155544281,masculine
en,neuter,toaster,fiftyish,-0.015534739941358566,masculine
en,neuter,toaster,chivalrous,-0.0024970597587525845,masculine
en,neuter,toaster,octogenarian,0.02197939343750477,masculine
en,neuter,toaster,stocky,-0.02929167076945305,masculine
en,neuter,toaster,barrel-chested,-0.0600535050034523,masculine
en,neuter,toaster,clean-shaven,-0.018765052780508995,masculine
en,neuter,toaster,well-spoken,0.11570906639099121,masculine
en,neuter,toaster,brawny,0.0840306356549263,masculine
en,neuter,toaster,one-armed,0.16293679177761078,masculine
en,neuter,toaster,shlubby,,masculine
en,neuter,toaster,bewhiskered,0.010001150891184807,masculine
en,neuter,toaster,metrosexual,0.024052657186985016,masculine
en,neuter,toaster,genius,0.1766553819179535,masculine
en,neuter,toaster,fair-haired,0.09782040864229202,masculine
en,neuter,toaster,fortyish,0.03897557780146599,masculine
en,neuter,toaster,unshaven,0.010091856122016907,masculine
en,neuter,toaster,grandfatherly,-0.022299641743302345,masculine
en,neuter,toaster,red-blooded,0.01104086171835661,masculine
en,neuter,toaster,long-haired,-0.031327612698078156,masculine
en,neuter,toaster,bald,0.02931344509124756,masculine
en,neuter,toaster,hunchbacked,-0.03154034912586212,masculine
en,neuter,toaster,year-old,0.03744535520672798,masculine
en,neuter,toaster,bullet-headed,-0.009056778624653816,masculine
en,neuter,moon,young,0.35984793305397034,masculine
en,neuter,moon,bald-headed,-0.031297437846660614,masculine
en,neuter,moon,heavyset,-0.0809544175863266,masculine
en,neuter,moon,bearded,0.16965213418006897,masculine
en,neuter,moon,middle-aged,0.08876309543848038,masculine
en,neuter,moon,handsome,0.26461437344551086,masculine
en,neuter,moon,white-haired,-0.036918289959430695,masculine
en,neuter,moon,virile,-0.022628288716077805,masculine
en,neuter,moon,well-dressed,-0.011391125619411469,masculine
en,neuter,moon,burly,0.019184965640306473,masculine
en,neuter,moon,bastard,0.18128831684589386,masculine
en,neuter,moon,manlike,-0.06715455651283264,masculine
en,neuter,moon,manly,0.15627723932266235,masculine
en,neuter,moon,rascal,0.122163787484169,masculine
en,neuter,moon,God-fearing,-0.09156627207994461,masculine
en,neuter,moon,dark-haired,0.018624000251293182,masculine
en,neuter,moon,full-bearded,,masculine
en,neuter,moon,portly,-0.08807159960269928,masculine
en,neuter,moon,one-eyed,0.10582897812128067,masculine
en,neuter,moon,good-looking,0.10528754442930222,masculine
en,neuter,moon,male,0.25420325994491577,masculine
en,neuter,moon,broad-shouldered,-0.09533212333917618,masculine
en,neuter,moon,beast,0.3538670539855957,masculine
en,neuter,moon,youngish,-0.06380654871463776,masculine
en,neuter,moon,grey-haired,-0.11983878910541534,masculine
en,neuter,moon,bespectacled,-0.001825916231609881,masculine
en,neuter,moon,goateed,-0.10355564206838608,masculine
en,neuter,moon,balding,0.014016648754477501,masculine
en,neuter,moon,bull-necked,-0.2633350193500519,masculine
en,neuter,moon,lantern-jawed,-0.17544376850128174,masculine
en,neuter,moon,sixtyish,-0.2668740451335907,masculine
en,neuter,moon,fine-looking,-0.10566192865371704,masculine
en,neuter,moon,assailant,0.022339699789881706,masculine
en,neuter,moon,kind-hearted,-0.027986794710159302,masculine
en,neuter,moon,silver-haired,-0.07310128957033157,masculine
en,neuter,moon,dapper,-0.009236770682036877,masculine
en,neuter,moon,black-haired,-0.003132312325760722,masculine
en,neuter,moon,hunky,0.11857151985168457,masculine
en,neuter,moon,lion-hearted,-0.09609837830066681,masculine
en,neuter,moon,septuagenarian,-0.15316301584243774,masculine
en,neuter,moon,schoolboy,0.0940588042140007,masculine
en,neuter,moon,studly,-0.080354243516922,masculine
en,neuter,moon,self-made,0.05948248133063316,masculine
en,neuter,moon,red-haired,0.04402186721563339,masculine
