LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,tostadora,individua,,masculine
es,feminine,tostadora,humana,,masculine
es,feminine,tostadora,chica,,masculine
es,feminine,tostadora,anciana,,masculine
es,feminine,tostadora,joven,,masculine
es,feminine,tostadora,sabia,,masculine
es,feminine,tostadora,jovencita,,masculine
es,feminine,tostadora,animal,,masculine
es,feminine,tostadora,creyente,,masculine
es,feminine,tostadora,campesina,,masculine
es,feminine,tostadora,adinerada,,masculine
es,feminine,tostadora,fornida,,masculine
es,feminine,tostadora,trabajadora,,masculine
es,feminine,tostadora,sujeta,,masculine
es,feminine,tostadora,desgraciada,,masculine
es,feminine,tostadora,vagabunda,,masculine
es,feminine,tostadora,guapa,,masculine
es,feminine,tostadora,cristiana,,masculine
es,feminine,tostadora,desdichada,,masculine
es,feminine,tostadora,pecadora,,masculine
es,feminine,tostadora,soñadora,,masculine
es,feminine,tostadora,procreadora,,masculine
es,feminine,tostadora,barbuda,,masculine
es,feminine,tostadora,corpulenta,,masculine
es,feminine,tostadora,vieja,,masculine
es,feminine,tostadora,amante,,masculine
es,feminine,tostadora,perra,,masculine
es,feminine,tostadora,cazadora,,masculine
es,feminine,tostadora,pescadora,,masculine
es,feminine,tostadora,soltera,,masculine
es,feminine,tostadora,seductora,,masculine
es,feminine,tostadora,señora,,masculine
es,feminine,tostadora,delincuente,,masculine
es,feminine,tostadora,afortunada,,masculine
es,feminine,tostadora,guerrera,,masculine
es,feminine,tostadora,camionera,,masculine
es,feminine,tostadora,polifacética,,masculine
es,feminine,tostadora,vaquera,,masculine
es,feminine,tostadora,necia,,masculine
es,feminine,tostadora,asesina,,masculine
es,feminine,tostadora,visionaria,,masculine
es,feminine,tostadora,piadosa,,masculine
es,feminine,tostadora,madura,,masculine
es,feminine,tostadora,acaudalada,,masculine
es,feminine,tostadora,metrosexual,,masculine
es,feminine,tostadora,viviente,,masculine
es,feminine,tostadora,macho,,masculine
es,feminine,tostadora,mona,,masculine
es,feminine,tostadora,poderosa,,masculine
es,feminine,tostadora,encarnada,,masculine
es,feminine,tostadora,honrada,,masculine
es,feminine,tostadora,galana,,masculine
es,feminine,tostadora,pensadora,,masculine
es,feminine,tostadora,primitiva,,masculine
es,feminine,tostadora,hombruna,,masculine
es,feminine,tostadora,octogenaria,,masculine
es,feminine,tostadora,masculina,,masculine
es,feminine,tostadora,ruda,,masculine
es,feminine,tostadora,depravada,,masculine
es,feminine,tostadora,buenmoza,,masculine
es,feminine,tostadora,caballerosa,,masculine
es,feminine,tostadora,astuta,,masculine
es,feminine,tostadora,atea,,masculine
es,feminine,tostadora,forzuda,,masculine
es,feminine,tostadora,embarazada,,masculine
es,feminine,tostadora,viajadora,,masculine
es,feminine,tostadora,ciudadana,,masculine
es,feminine,tostadora,infeliz,,masculine
es,feminine,tostadora,mujeriega,,masculine
es,feminine,tostadora,agricultora,,masculine
es,feminine,tostadora,intrépida,,masculine
es,feminine,tostadora,civilizada,,masculine
es,feminine,tostadora,aventurera,,masculine
es,feminine,tostadora,bondadosa,,masculine
es,feminine,tostadora,semihumana,,masculine
es,feminine,tostadora,heterosexual,,masculine
es,feminine,tostadora,tímido,,masculine
es,feminine,tostadora,cultísima,,masculine
es,feminine,tostadora,sapiente,,masculine
es,feminine,luna,individua,-0.11075974255800247,masculine
es,feminine,luna,humana,0.08160090446472168,masculine
es,feminine,luna,chica,0.37885674834251404,masculine
es,feminine,luna,anciana,0.04728277400135994,masculine
es,feminine,luna,joven,0.24519675970077515,masculine
es,feminine,luna,sabia,0.12048318982124329,masculine
es,feminine,luna,jovencita,0.08339346945285797,masculine
es,feminine,luna,animal,0.26871368288993835,masculine
es,feminine,luna,creyente,-0.03004947490990162,masculine
es,feminine,luna,campesina,0.10688390582799911,masculine
es,feminine,luna,adinerada,,masculine
es,feminine,luna,fornida,,masculine
es,feminine,luna,trabajadora,0.008142873644828796,masculine
es,feminine,luna,sujeta,,masculine
es,feminine,luna,desgraciada,,masculine
es,feminine,luna,vagabunda,0.03222509101033211,masculine
es,feminine,luna,guapa,0.06661611050367355,masculine
