"noun","RatingType","version","question","masculine_adjective","feminine_adjective","ResponseId","Rating","NounGroup","translation","en","es","NounID"
"Bauch","X15_Version.6",6,15,"ungestalt","bildhübsch","R_5es2iegNu6B8ndH",1,"de-M.es-F","belly","belly","barriga",20
"Bauch","X15_Version.6",6,15,"ungestalt","bildhübsch","R_2uNsfTzXdb37gZz",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X16_Version.5",5,16,"ungestalt","zärtlich","R_6G7pxQqoECxNOgh",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X17_Version.4",4,17,"ungestalt","spindeldürr","R_7gSkWWjtZ8oDs8y",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X17_Version.4",4,17,"ungestalt","spindeldürr","R_3PdcDwfHj6RP3dM",1,"de-M.es-F","belly","belly","barriga",20
"Bauch","X17_Version.4",4,17,"ungestalt","spindeldürr","R_2yW6lMNNWKPWreh",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X20_Version.1",1,20,"sterbend","fraulich","R_1QXg6SjrQf87ZU5",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X17_Version.4",4,17,"ungestalt","spindeldürr","R_4SvEUsLIbEjPidT",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X17_Version.4",4,17,"ungestalt","spindeldürr","R_1lulB6wYyhzU1eV",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X16_Version.5",5,16,"ungestalt","zärtlich","R_21uAaS2yr99dD5x",1,"de-M.es-F","belly","belly","barriga",20
"Bauch","X17_Version.4",4,17,"ungestalt","spindeldürr","R_3CEmaNtVqMZD5Kc",1,"de-M.es-F","belly","belly","barriga",20
"Bauch","X16_Version.5",5,16,"ungestalt","zärtlich","R_2gSDVBnT7r4NhG6",1,"de-M.es-F","belly","belly","barriga",20
"Bauch","X17_Version.4",4,17,"ungestalt","spindeldürr","R_7GqvkurTcIB1Dfc",1,"de-M.es-F","belly","belly","barriga",20
"Bauch","X15_Version.6",6,15,"ungestalt","bildhübsch","R_2dEKKzjj5RWXoKd",1,"de-M.es-F","belly","belly","barriga",20
"Bauch","X20_Version.1",1,20,"sterbend","fraulich","R_2OSWTwL7yBkwYAp",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X15_Version.6",6,15,"ungestalt","bildhübsch","R_3ypVQAoUjxcPTGc",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X15_Version.6",6,15,"ungestalt","bildhübsch","R_3HRm4D1q9Gl69CP",1,"de-M.es-F","belly","belly","barriga",20
"Bauch","X17_Version.4",4,17,"ungestalt","spindeldürr","R_44wUdgiIETm4jfP",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X20_Version.1",1,20,"sterbend","fraulich","R_2FPd9e8U83PwNh1",1,"de-M.es-F","belly","belly","barriga",20
"Bauch","X17_Version.4",4,17,"ungestalt","spindeldürr","R_6m1tsKMTv8FhE2t",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X16_Version.5",5,16,"ungestalt","zärtlich","R_2rjESAl5DluLRNi",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X20_Version.1",1,20,"sterbend","fraulich","R_6GxCsIXWx61gKsr",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X15_Version.6",6,15,"ungestalt","bildhübsch","R_2sZH1Qogz6vnOGA",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X17_Version.4",4,17,"ungestalt","spindeldürr","R_8AWgpyx0LBphkbd",1,"de-M.es-F","belly","belly","barriga",20
"Bauch","X15_Version.6",6,15,"ungestalt","bildhübsch","R_5ro3ngCJhRAbXGn",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X16_Version.5",5,16,"ungestalt","zärtlich","R_7lsNbM3HaotqGsP",1,"de-M.es-F","belly","belly","barriga",20
"Bauch","X18_Version.3",3,18,"ungestalt","sentimentalisch","R_27Jz8aaDLo8j7I9",1,"de-M.es-F","belly","belly","barriga",20
"Bauch","X20_Version.1",1,20,"sterbend","fraulich","R_84iwMwJLtGvwPeA",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X20_Version.1",1,20,"sterbend","fraulich","R_2SAJaXHXk5yVhmB",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X20_Version.1",1,20,"sterbend","fraulich","R_7hGDK7AWK9r52KI",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X20_Version.1",1,20,"sterbend","fraulich","R_22PuIzXXXFINaMM",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X17_Version.4",4,17,"ungestalt","spindeldürr","R_5YO4hglgGmSunsJ",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X17_Version.4",4,17,"ungestalt","spindeldürr","R_3OJH4hpJiPtYLU9",2,"de-M.es-F","belly","belly","barriga",20
"Bauch","X17_Version.4",4,17,"ungestalt","spindeldürr","R_2etBOKHAlvLbral",1,"de-M.es-F","belly","belly","barriga",20
