"noun","RatingType","version","question","masculine_adjective","feminine_adjective","ResponseId","Rating","NounGroup","translation","es","de","NounID"
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_7ALQDHI1epcrTR7",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_5Q122oLt0C1Kh7H",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_7JSZMjK2Qt0DGrD",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_1FD76QeiaKx31r2",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_5prtJ2G5643YwKT",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X35_Version.3",3,35,"dapper","statuesque","R_7mVt2RDDQlDq069",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X35_Version.3",3,35,"dapper","statuesque","R_74k4ZiD1niVAiEh",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X35_Version.3",3,35,"dapper","statuesque","R_3ukUPl3EFDCbMul",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X35_Version.3",3,35,"dapper","statuesque","R_3O0vO5zMHCvguZm",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X35_Version.3",3,35,"dapper","statuesque","R_5B4SH0pp1StYkKt",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X35_Version.3",3,35,"dapper","statuesque","R_62zsNiPDKYFYiiW",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X35_Version.3",3,35,"dapper","statuesque","R_3frP1FK9Fv2ZqrJ",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X35_Version.3",3,35,"dapper","statuesque","R_3VkBQmRqMcKtBHb",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X35_Version.3",3,35,"dapper","statuesque","R_7GvGw2PcY2u35XM",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X35_Version.3",3,35,"dapper","statuesque","R_1LcZkHt0Gh3Uu0g",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_7eqSKAJU6jzp7yC",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_6CPk0U794NyPWuI",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_6jEe1vFglYFRFbV",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_3IbXNZsXT8Meo1s",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_3qaAD8EmVt6uSeB",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_59cVRSIbli9yRP1",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_6r8EHfkPOj5Vmmx",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_74E8hgZZkfwtu5r",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_62P5Q4ZRtirpWdb",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_7a9bdBjYNcKrdJI",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_6jEDTN7lDyWr0UF",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_7P4YbAQKeygsZwz",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_5M50pnr67NcQcGj",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_7rBEpCRfkH1QF9v",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_7M6xE5YzgMFoVmr",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_7t6tIz99lUrxhV7",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_7DA2aVC7oGImqLl",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_3kSmqc1W6NtTJT4",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_72o7aFsoew6AmGZ",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_19aeRDCU9nMfNH8",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_1dKD8o9XABlA1oW",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_6ySzVI68kz89qCd",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_7t0ffADvkei9Tdp",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_62Y8cyQ9joHYSok",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_7h3m90J8OlgwUBC",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_6KHeHx1Vwi3oCgw",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_72u91rG47que7Fk",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_7pmkpLPlHIzV8WJ",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_6dYFL32OvDuNtLF",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X35_Version.3",3,35,"dapper","statuesque","R_7QET5ogd8pGDb6X",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_7pMujCcBV7VngHv",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_3Sqq5blkznYZ4qj",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_5MQg4f32RZnRDV2",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_7SldzkPMEiILsHQ",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_6Rt7g7juIE61oqz",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_3HdSqjFpMgvsIEC",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_7dzYppIYadNRqEx",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_7lRlymZ4gBamjae",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_6dnHFu8r1riZrXj",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_3gAsSq6iAvkAWR8",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_7xtVbatLVVDVo3v",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_1DG3nVmI8ZcS2eO",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_5E73VCN3VIeWhAl",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_7KVeRXpVdxBZQOP",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_3SB2xaI2Em27xuT",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_61iu5qjN0zKzsJq",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_6YDsAl0bxyY2DLy",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_6ZF1TmvZz0RhsFr",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_3oqcrrqHoHQS9LH",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_3Nxqp3f40WzwoPq",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_3QVEZFOdRrhNgYI",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_61583ZX3ytDB0uG",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_6NSmdx3d3DbwfWF",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_6WC2bL6ftdEAgSF",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_3jv4xOP7d68gMEG",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_54F1NwnOHmmZMOJ",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_7TT62JSY3Q3NzQa",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X33_Version.5",5,33,"dapper","voluptuous","R_71NlO0vIvXFGy9H",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_7EKFSrZ1Aiyvf8n",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_63LJSmYnUqWTKQ9",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_1DhATCM4XCP4Yed",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_5FIzBgf0kddV7tg",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_6nNOOeBW2wPRuoO",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X32_Version.6",6,32,"dapper","feminine","R_7wH89enMGnDVzpA",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_1Hoab4TB0sGro5A",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_7ToguvR0MQceNUQ",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_1YhDKuNv4ul3y8h",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_7LTO23wHTrUegx9",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_3CwEVzuewowNPnD",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X36_Version.2",2,36,"dapper","sexy","R_30uRfwQYaUsMV9z",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X34_Version.4",4,34,"dapper","full-figured","R_5mTDuejI83Dws49",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X34_Version.4",4,34,"dapper","full-figured","R_60TK4qLQAYzFuxv",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_7jxr0hTdnFchUxX",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_7jUqoU2QLMj2Cqx",1,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_1Cx4vZTMJtk71Z7",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_3CgIsAf2neZjb8J",2,"de-F.es-M","barn","granero","Scheune",1
"barn","X1_Version.1",1,1,"grandfatherly","grandmotherly","R_8mkIKYRGIwuqhzn",1,"de-F.es-M","barn","granero","Scheune",1
