"noun","RatingType","version","question","masculine_adjective","feminine_adjective","ResponseId","Rating","NounGroup","translation","en","de","NounID"
"ala","X26_Version.5",5,26,"vaquera","virgen","R_1jN5uGBHIyV7Cyl",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_58cxhVqusUuiGHv",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_2uCLuxzrKQZQfHQ",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_3nT7XARTzyI2tQg",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_3AQi8jym0iLj1q9",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_3jrccdJG89jSPui",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_3ztBrk6Nd3DdHSM",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_1feBwJJ79rnjImJ",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_6UW8GoZTHldhdCN",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_5uBWwllVvdU6Eq0",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_3rOBxVRIMket2hS",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_3qEAbKRivP12dYA",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_6GvTGAgCulx7Eig",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_1j9sHPooluaHiSb",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_1oh93oDo2ZU0l6M",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_1J5lHcVXSiRkziW",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_5rGHeeVURIlVGnN",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X30_Version.1",1,30,"vaquera","sentimental","R_8few6aTSKnkhmI9",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_7SqOzt70akQLc6l",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_5hiP0Ycxn5A7LrE",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_3QLfr2fOUTKRoOh",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_7kveVscN30wGayJ",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_1788XKeXhiRbpnA",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_3iCrGxquxk97v8L",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_7PUwq8V8E3Pmq4H",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_1fC0uvEvEGfVrrz",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_5hiPpPNfuKLd0YO",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_2CBsnIVuwmOnxDS",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_1NJNcVpGTKnnhJA",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_7Pjfo0dha1aVmW2",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X30_Version.1",1,30,"vaquera","sentimental","R_35HKReckMGcXaPC",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_5PRW13X00dHyxx8",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_6dXeIsVR7kVWPjf",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_7emg3NrW05u50fX",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_1HYPI0cgdrB51Vb",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_1DUL9GKJQtTnUPQ",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_6EMzlhT2y1ve0SG",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_32L4sg2gKsS0jxy",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_7Oh5Ai6QQ9VY7sd",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_5SkubLDmqyxJLh2",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_3MLhR4QjLR1z7ie",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_771s8OJW7P8MsrD",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_6c1Vl2cWykcRvdX",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_7rOwZyT7c72BEy5",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_1bQtLNz6fJpoMwh",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_6LDEr31Sh3fmH73",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_7mn28D6XypnnvIF",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_3MZp56x1QeCjEIS",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_5f0D6SoypYacFeU",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_1Nzgy3vDSOy0Sjn",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_1ATL0ituyFrpYbY",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_6gGzwip9OCH7jjC",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_2hTjW6bj4X5LZCU",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_8ri7LlCvAhQsw3k",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_171gNYDxUyUgsyG",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_1LSRuI7yjbkE3H6",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_7F3AvgMYp8OrN7V",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_7QPlHuxCbTSVO6o",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_7fvXF6QAaVgWSgV",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_8GwVnxzAyJaSZhI",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_1G0SsYpdPf0B2Lp",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_7m7tvSYeDTf4MNP",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X30_Version.1",1,30,"vaquera","sentimental","R_3dsowXk48iVsI2n",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_7KdURltDMpTei1M",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_7idrcGhREKVI4PD",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_691arihTOE6YnCU",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_5sbgGbaVSR2XfkV",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_12Q3u1NKGiYmd6e",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X30_Version.1",1,30,"vaquera","sentimental","R_7NJvwv3pcMluXoU",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_3eRJm2oxDrMLkFC",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X30_Version.1",1,30,"vaquera","sentimental","R_7jO01bJerTYSv0T",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X30_Version.1",1,30,"vaquera","sentimental","R_771ELG2fhU0DKtX",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_7gD3DtkVT4cUsdH",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_7upnb3jkxlRdL9V",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_7Ee3E9sR64d28Wl",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_3U9igvcs3t1tPmy",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_5XchvrFFcAKQtMJ",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X30_Version.1",1,30,"vaquera","sentimental","R_5qxQzKoBNgYWtON",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_7GEaNYnbjP6zJFr",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_3f6k2NV8H43E3OF",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X30_Version.1",1,30,"vaquera","sentimental","R_7zMAsFmetoOlCkw",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X30_Version.1",1,30,"vaquera","sentimental","R_7Pj4ZDJFcqSJQ4u",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_79Kv0sB8sYnZvRD",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_7DRW2PpTKlD82g1",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_1Zw4pw14eV1WY3T",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_3bHL8XsTopn0UAO",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_32D8oD86grXFgP1",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_31cHL5gW0DMoZB6",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_51nnpfDD8lYPZht",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X30_Version.1",1,30,"vaquera","sentimental","R_7s0oa6jXI5eUUpV",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_1kA5DhojvVrRx4U",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_22KdRFsVkipzbiN",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_2rj8wUzHGHx729T",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_5mX5SpRcyKzcumB",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X27_Version.4",4,27,"vaquera","sensual","R_6ikDmeuf58G0UhI",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X30_Version.1",1,30,"vaquera","sentimental","R_1rS3NcPBg5nfX1R",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_3zjff2AckbGU5Vf",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X26_Version.5",5,26,"vaquera","virgen","R_7WAr5fSaYuGE8eb",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_1J8Yrmoo5OYQK4J",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_5lJN8vtcZBhRzcL",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_1Fqrt2jvQ9vZoze",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_1C8SXql55t4Uq7i",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_7YlhYgijswwMM5N",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_7SBpkWe3U5zPG72",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_3mdY3EUYJMisK7I",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_2ARTU0ojQYqDc0b",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_3glkypzOf6AB9Kx",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_6ty4s9uLiqKKxTx",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_5Hpit4A2TztPUgO",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_7HsU5LkihlxamjL",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X30_Version.1",1,30,"vaquera","sentimental","R_1jVrgehRMYfoBM5",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X30_Version.1",1,30,"vaquera","sentimental","R_71FT7FjYwaG986M",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X28_Version.3",3,28,"vaquera","sexy","R_3nZ3UHvoZg3NZEU",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X25_Version.6",6,25,"vaquera","femenina","R_16krOMqSzvcvg2t",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X30_Version.1",1,30,"vaquera","sentimental","R_1ci2Rn6UgyGljCV",1,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_4DFGYjmUq8IeAJX",2,"es-F.de-M","wing","wing","Flügel",30
"ala","X29_Version.2",2,29,"vaquera","despampanante","R_5MQxSsfS55v19MJ",2,"es-F.de-M","wing","wing","Flügel",30
