Adjective,Language,masculine_similarity,feminine_similarity,exclusive_masculine_similarity,exclusive_feminine_similarity,neuter_similarity,depersonalized_masculine_similarity,depersonalized_feminine_similarity,adjective.masc-form,adjective.fem-form,grammatical_gender,masculine_score,feminine_score,Definition
frigide,German,0.3077877982371667,0.3969555564421724,0.0,0.0,0.2009300888503701,0.40727679157568,0.369887840010058,,,,0.3077877982371667,0.3969555564421724,frigid (very cold)
aidskrank,German,0.3417028150869051,0.3847562948549342,0.0,0.0,0.1890590699534791,0.1739825084089404,0.1870776540964472,,,,0.3417028150869051,0.3847562948549342,(person) afflicted with AIDS
krebskrank,German,0.3146030362702573,0.373548585820612,0.0,0.0,0.1569873842471529,0.0978779259383053,0.1228232749098102,,,,0.3146030362702573,0.373548585820612,having cancer
sexuell,German,0.3456420061710876,0.3572966398199376,0.0,0.0,0.2504957566030197,0.3291278056904206,0.3348439480524102,,,,0.3456420061710876,0.3572966398199376,sexual Antonym: asexuell
uterin,German,0.2551495699714619,0.3545357338254259,0.0,0.0,0.1673890975133063,0.2650482101856057,0.1807264801633386,,,,0.2551495699714619,0.3545357338254259,uterine
damenhaft,German,0.3125769704829794,0.3536751687881714,0.0,0.0,0.1213824680461923,0.4093616575785399,0.297495574167701,,,,0.3125769704829794,0.3536751687881714,"ladylike Synonyms: ladylike , ladyhaft"
berufstätig,German,0.3404668706226439,0.3486114994889369,0.0,0.0,0.1542115636510764,0.1270652679690332,0.1190359333864049,,,,0.3404668706226439,0.3486114994889369,employed
barbusig,German,0.2427385757409608,0.3484274592023063,0.0,0.0,0.0288063981239457,0.2877179069586771,0.2139666684728692,,,,0.2427385757409608,0.3484274592023063,"topless , bare-breasted ( of a woman )"
transsexuell,German,0.3400906498848977,0.346850821556862,0.0,0.0,0.2906699807890713,0.3412203583500785,0.3029878608332271,,,,0.3400906498848977,0.346850821556862,"transsexual Coordinate terms: transgender , transgeschlechtlich , transident 2021 July 26, Dominik Baur, “Transsexualität und Politik: Ihr langer Kampf um Akzeptanz”, in Die Tageszeitung: taz ‎ [1] , →ISSN : Im Herbst werden wohl erstmals transsexuelle Abgeordnete in den Bundestag ziehen"
unkeusch,German,0.3498236849841298,0.345023030966658,0.0,0.0,0.2409739797975577,0.3333076684005055,0.287889084266508,,,,0.3498236849841298,0.345023030966658,unchaste
angeheiratet,German,0.3156885905160279,0.3440393134971112,0.0,0.0,0.109661384577638,0.2168016961396137,0.1830135167199869,,,,0.3156885905160279,0.3440393134971112,"related by marriage , in-law angeheiratete Verwandtschaft ― relatives by marriage / in-laws eine angeheiratete Tante ― an aunt by marriage / “ aunt-in-law ”"
schwesterlich,German,0.3151611399547039,0.3420316222036749,0.0,0.0,0.1876531792080585,0.2110688426963526,0.1728856372267464,,,,0.3151611399547039,0.3420316222036749,"sisterly , sororal"
nichtbinär,German,0.3264636260640162,0.3383235795135019,0.0,0.0,0.2022531670679616,0.2242207784050493,0.1936413876258292,,,,0.3264636260640162,0.3383235795135019,"non-binary Synonyms: diversgeschlechtlich , zwischengeschlechtlich"
kinderlos,German,0.3489402923393636,0.3360495258275138,0.0,0.0,0.1963861130634422,0.1923076534914469,0.1518639334911884,,,,0.3489402923393636,0.3360495258275138,childless
sterbenskrank,German,0.3057813255836477,0.3354541088586822,0.0,0.0,0.185474777666415,0.1120215245547387,0.1109877249000187,,,,0.3057813255836477,0.3354541088586822,fatally ill
mütterlich,German,0.3106239235189958,0.3295381563431034,0.0,0.0,0.2465783824443479,0.3619413668894253,0.2892536010121478,,,,0.3106239235189958,0.3295381563431034,motherly
halbnackt,German,0.3387368691542722,0.3280673791065048,0.0,0.0,0.1296460667674743,0.2702536271496042,0.2958800339957034,,,,0.3387368691542722,0.3280673791065048,"half-naked , seminude"
schwerkrank,German,0.3217929667219617,0.3266234133537437,0.0,0.0,0.1790409432934606,0.0934834394589441,0.072887825499295,,,,0.3217929667219617,0.3266234133537437,very sick ; very ill
gynozentrisch,German,0.3478571984397632,0.3247156348437089,0.0,0.0,0.3127501020192424,0.3723519801490785,0.3183428251068977,,,,0.3478571984397632,0.3247156348437089,gynocentric
