Adjective,Language,masculine_similarity,feminine_similarity,exclusive_masculine_similarity,exclusive_feminine_similarity,neuter_similarity,depersonalized_masculine_similarity,depersonalized_feminine_similarity,masculine_score,feminine_score,Definition
female,English,0.3968462214786974,0.6162926931361856,0.0,0.0,0.3545309861280415,0.4161316792509041,0.4586118978571093,0.3968462214786974,0.6162926931361856,"Belonging to the sex which typically produces eggs ( ova ), or to the gender which is typically associated with it"
pregnant,English,0.305656287924296,0.5233548754611566,0.0,0.0,0.1948614246571586,0.1190477862144155,0.2028670888537963,0.305656287924296,0.5233548754611566,( chiefly not comparable ) Carrying developing offspring within the body
unmarried,English,0.3667176098842863,0.51141529636816,0.0,0.0,0.2955287300764379,0.2172796210935086,0.26073423707415,0.3667176098842863,0.51141529636816,Having no husband or wife 
feminist,English,0.2261412472143134,0.4992003805618475,0.0,0.0,0.1768886038151736,0.3490581222878132,0.4657379580487802,0.2261412472143134,0.4992003805618475,relating to or in accordance with feminism 
nymphomaniac,English,0.3539116539308355,0.487065026170471,0.0,0.0,0.2523587014360299,0.2556085126754598,0.306639665837668,0.3539116539308355,0.487065026170471,( of a woman ) Having an excessive libido
married,English,0.3574169434942469,0.4815519367611831,0.0,0.0,0.2716327876116045,0.1851225082739724,0.1989315825972956,0.3574169434942469,0.4815519367611831,In a state of marriage ; having a wife or a husband
widowed,English,0.3395526070879787,0.4778450157781254,0.0,0.0,0.2528188884833413,0.1211856449092749,0.1417864523832243,0.3395526070879787,0.4778450157781254,( of a previously married person ) Whose spouse has died or is gone missing; who has become a widow or widower 
womanly,English,0.303555628938602,0.4684041288505617,0.0,0.0,0.1261934429448727,0.560429536613098,0.7289293386600697,0.303555628938602,0.4684041288505617,"Considered typical of, stereotypical of, or appropriate to women; feminine "
matronly,English,0.2763740792490194,0.4673717007268418,0.0,0.0,0.1621929541092264,0.3582904622149583,0.5128813898390979,0.2763740792490194,0.4673717007268418,In the capacity of a matron ; serving as a housekeeper or head nurse 
full-figured,English,0.2721689425044862,0.4659075853813067,0.0,0.0,0.1783626946323432,0.3164373415270631,0.4259606252556595,0.2721689425044862,0.4659075853813067,"( of a person, especially a woman ) Fat ; plump "
