Adjective,Language,masculine_similarity,feminine_similarity,exclusive_masculine_similarity,exclusive_feminine_similarity,neuter_similarity,depersonalized_masculine_similarity,depersonalized_feminine_similarity,masculine_score,feminine_score,Definition
grandfatherly,English,0.402464816537198,0.27732498316816,0.0,0.0,0.2651962711694876,0.298344526105654,0.247097189593869,0.402464816537198,0.27732498316816,In the manner of a grandfather 
unshaven,English,0.4027644509246472,0.3001817093516991,0.0,0.0,0.1897928364211798,0.322162013396454,0.2410374553898025,0.4027644509246472,0.3001817093516991,Not having shaved ; not shaven; untrimmed 
fortyish,English,0.4028867616347018,0.4808409152035146,0.0,0.0,0.2588046072276658,0.2409583618705504,0.2212749131896872,0.4028867616347018,0.4808409152035146,Close to the number forty
fair-haired,English,0.4035993390072735,0.4021904790711781,0.0,0.0,0.1963326673686928,0.2923714841024796,0.2977763964566863,0.4035993390072735,0.4021904790711781,"Used other than figuratively or idiomatically: see fair ,‎ hair ,‎ -ed "
genius,English,0.4036755518447391,0.2217813920003966,0.0,0.0,0.2697261014317445,0.1878004792503589,0.2109823588924538,0.4036755518447391,0.2217813920003966,"( informal ) Ingenious , brilliant , very clever , or original "
metrosexual,English,0.4047258370426827,0.3181153243894551,0.0,0.0,0.2052106747971446,0.5295828623357783,0.4504727773005089,0.4047258370426827,0.3181153243894551,Of or relating to a metrosexual or the metrosexual lifestyle
bewhiskered,English,0.4048872803458146,0.2603826596393244,0.0,0.0,0.1191205581253868,0.216743272330689,0.1415876276014868,0.4048872803458146,0.2603826596393244,"Having whiskers 1914 , Edgar Rice Burroughs , The Mucker ‎ [1] , All-Story Cavalier Weekly: [ … ] another was an old, bewhiskered hobo, [ … ]"
shlubby,English,0.4054010634703798,0.3497670070778146,0.0,0.0,0.2536450251329212,0.3577878771258854,0.3081192989473685,0.4054010634703798,0.3497670070778146,"Alternative form of schlubby 2008 February 10, Lynn Hirschberg, “Breaking through”, in The New York Times ‎ [1] , archived from the original on 12 May 2011 : Although [Seth] Rogen had his artistic breakthrough with “ The 40-Year-Old Virgin ” two years ago, he achieved mass appeal this year as a funny, lovable, shlubby every-guy who won the beautiful blonde"
one-armed,English,0.4057155460058567,0.3112367821725503,0.0,0.0,0.1840931083616518,0.1738832297220256,0.0996529157203733,0.4057155460058567,0.3112367821725503,Having only one arm ; especially having lost an arm
brawny,English,0.4062202384483403,0.2612082570881406,0.0,0.0,0.0908733096431094,0.3914532430762265,0.2212045680653266,0.4062202384483403,0.2612082570881406,"Characterized by brawn ; muscular , thewy ; strong "
well-spoken,English,0.4081962395969229,0.3637955409500118,0.0,0.0,0.3549469631429205,0.2864930013919328,0.2978679463570299,0.4081962395969229,0.3637955409500118,Eloquent and able with regards to speech 
clean-shaven,English,0.4083704967982139,0.2794462591331049,0.0,0.0,0.1559307354321979,0.3826315709181396,0.2521906370429582,0.4083704967982139,0.2794462591331049,"Having had hair (especially facial hair) shaved off, so that it is no longer visible"
barrel-chested,English,0.4084064980719933,0.2419659605710234,0.0,0.0,0.135558087485189,0.2967049770141228,0.1623536049701161,0.4084064980719933,0.2419659605710234,Having a barrel chest
stocky,English,0.4092032765485763,0.2760041856832487,0.0,0.0,0.1874138241442907,0.3287167503739275,0.1999536112517409,0.4092032765485763,0.2760041856832487,( of a person or an animal ) Sturdy ; solidly built ; heavy and compact 
octogenarian,English,0.409220484235389,0.4448384628798738,0.0,0.0,0.2679024952495115,0.1261085598349003,0.1170700329012858,0.409220484235389,0.4448384628798738,Of or related to eightysomethings 
