Adjective,adjective.masc-form,adjective.fem-form
transexual,,
feminista,,
machista,,
adolescente,,
casado,casado,casada
hembrista,hembristo,hembrista
bollera,bollero,bollera
menstruante,,
bisexual,,
femenino,femenino,femenina
virgen,,
mujeril,,
sexual,,
gestante,,
infiel,,
transgenerista,transgeneristo,transgenerista
patriarcal,,
intersexual,,
desposado,desposado,desposada
inmigrante,,
sensual,,
afrodescendiente,,
profeminista,,
matriarcal,,
extramatrimonial,,
masculinizado,masculinizado,masculinizada
transgénero,transgénero,transgénera
despampanante,,
sexy,,
extraconyugal,,
feminazi,,
divorciado,divorciado,divorciada
sexista,,
activista,,
extramarital,,
inocente,,
lesbiano,lesbiano,lesbiana
anarcofeminista,,
marital,,
hermafrodita,hermafrodito,hermafrodita
sentimental,,
antifeminista,,
preadolescente,,
matronal,,
afroestadounidense,,
valiente,,
pseudofeminista,,
migrante,,
emigrante,,
casadero,casadero,casadera
travestido,travestido,travestida
ultrafeminista,,
enamorado,enamorado,enamorada
pobre,,
postadolescente,,
heteropatriarcal,,
escultural,,
indígena,indígeno,indígena
gay,,
travestista,,
violador,violador,violadora
núbil,,
enamoradísimo,enamoradísimo,enamoradísima
cantante,,
posfeminista,,
infanticida,infanticido,infanticida
gentil,,
filicida,filicido,filicida
primogénito,primogénito,primogénita
sexi,,
birracial,,
empoderante,,
sobreviviente,,
invidente,,
prepúber,,
concubinario,concubinario,concubinaria
misógino,misógino,misógina
familiar,,
cornudo,cornudo,cornuda
feminizante,,
misándrico,misándrico,misándrica
rata,rato,rata
madrero,madrero,madrera
conyugal,,
trans,,
viril,,
unisexual,,
acompañante,,
homicida,homicido,homicida
varonil,,
envejeciente,,
demisexual,,
cisgénero,cisgénero,cisgénera
cavernícola,cavernícolo,cavernícola
estudiante,,
combatiente,,
afroespañol,,
nudista,nudisto,nudista
pollerudo,pollerudo,polleruda
