adjective gender,adjective,association
masculine,männisch,6.36363636363636
masculine,homosexuell,4.96153846153846
masculine,allein,4.15384615384615
masculine,alt,4.03846153846154
masculine,sterbend,4.19230769230769
masculine,dahergelaufen,4.34615384615385
masculine,hochtechnologisch,4.46153846153846
masculine,verschnöselt,4.375
masculine,beruflich,4.15384615384615
masculine,ungestalt,4.31818181818182
feminine,fraulich,1.65384615384615
feminine,bildhübsch,2.69230769230769
feminine,zärtlich,2.88461538461538
feminine,spindeldürr,3.30769230769231
feminine,sentimentalisch,3.57692307692308
feminine,jung,3.88461538461538
feminine,unbekleidet,3.65384615384615
feminine,gutsitzend,3.88461538461538
feminine,traut,3.72727272727273
feminine,schlohweiß,3.78947368421053
