adjective gender,adjective,association
masculine,masculino,6.40909090909091
masculine,macho,6.04545454545455
masculine,primitivo,4.63636363636364
masculine,viejo,4.13636363636364
masculine,poderoso,4.36363636363636
masculine,vaquero,4.45454545454545
masculine,corpulento,4.54545454545455
masculine,pobre,4.13636363636364
masculine,escultural,4.28571428571429
masculine,civilizado,4.09090909090909
feminine,femenino,1.81818181818182
feminine,sexy,3.22727272727273
feminine,sensual,3.13636363636364
feminine,despampanante,3.52380952380952
feminine,familiar,3.90909090909091
feminine,sentimental,3.54545454545455
feminine,inocente,3.90909090909091
feminine,empoderante,3.90909090909091
feminine,seductor,3.95454545454545
feminine,gentil,3.95454545454545
