language,gender,adjective,association
de,masculine,männisch,6.36
de,masculine,hochtechnologisch,4.46
de,masculine,ungestalt,4.32
de,masculine,sterbend,4.19
de,masculine,allein,4.15
de,masculine,beruflich,4.15
de,feminine,mütterlich,1.38
de,feminine,fraulich,1.65
de,feminine,bildhübsch,2.69
de,feminine,zärtlich,2.88
de,feminine,spindeldürr,3.31
de,feminine,sentimentalisch,3.58
en,masculine,grandfatherly,6.7
en,masculine,manly,6.39
en,masculine,hunky,6.14
en,masculine,handsome,6
en,masculine,brawny,5.95
en,masculine,dapper,5.86
en,feminine,grandmotherly,1.35
en,feminine,feminine,1.48
en,feminine,voluptuous,1.91
en,feminine,full-figured,2.48
en,feminine,statuesque,3.3
en,feminine,sexy,3.52
es,masculine,masculino,6.41
es,masculine,macho,6.05
es,masculine,forzudo,4.71
es,masculine,primitivo,4.64
es,masculine,vaquero,4.45
es,masculine,poderoso,4.36
es,feminine,femenino,1.82
es,feminine,virgen,2.86
es,feminine,sensual,3.14
es,feminine,sexy,3.23
es,feminine,despampanante,3.52
es,feminine,sentimental,3.55
