Version,Question,Noun,Masculine Adjective,Feminine Adjective
1,1,barn,manly,sexy
1,2,belly,manly,plus-size
1,3,bench,manly,full-figured
1,4,bowl,manly,good-looking
1,5,box,manly,voluptuous
1,6,bumblebee,manly,grandmotherly
1,7,butterfly,manly,womanly
1,8,button,manly,feministic
1,9,cage,manly,statuesque
1,10,cat,manly,feminine
1,11,ceiling,stocky,sexy
1,12,chair,stocky,plus-size
1,13,chest,stocky,full-figured
1,14,clock,stocky,good-looking
1,15,couch,stocky,voluptuous
1,16,dirt,stocky,grandmotherly
1,17,dresser,stocky,womanly
1,18,drum,stocky,feministic
1,19,fingernail,stocky,statuesque
1,20,fish,stocky,feminine
1,21,fist,masculine,sexy
1,22,fork,masculine,plus-size
1,23,frog,masculine,full-figured
1,24,head,masculine,good-looking
1,25,ladybug,masculine,voluptuous
1,26,lip,masculine,grandmotherly
1,27,mattress,masculine,womanly
1,28,moon,masculine,feministic
1,29,mouse,masculine,statuesque
1,30,mouth,masculine,feminine
1,31,movie,macho,sexy
1,32,necklace,macho,plus-size
1,33,pajama,macho,full-figured
1,34,pants,macho,good-looking
1,35,pie,macho,voluptuous
1,36,rain,macho,grandmotherly
1,37,sand,macho,womanly
1,38,shoulder,macho,feministic
1,39,sock,macho,statuesque
1,40,star,macho,feminine
1,41,stove,heavyset,sexy
1,42,stripe,heavyset,plus-size
1,43,sun,heavyset,full-figured
1,44,table,heavyset,good-looking
1,45,toaster,heavyset,voluptuous
1,46,toilet,heavyset,grandmotherly
1,47,underpants,heavyset,womanly
1,48,wall,heavyset,feministic
1,49,washcloth,heavyset,statuesque
1,50,wing,heavyset,feminine
1,51,barn,handsome,sexy
1,52,belly,handsome,plus-size
1,53,bench,handsome,full-figured
1,54,bowl,handsome,good-looking
1,55,box,handsome,voluptuous
1,56,bumblebee,handsome,grandmotherly
1,57,butterfly,handsome,womanly
1,58,button,handsome,feministic
1,59,cage,handsome,statuesque
1,60,cat,handsome,feminine
1,61,ceiling,grandfatherly,sexy
1,62,chair,grandfatherly,plus-size
1,63,chest,grandfatherly,full-figured
1,64,clock,grandfatherly,good-looking
1,65,couch,grandfatherly,voluptuous
1,66,dirt,grandfatherly,grandmotherly
1,67,dresser,grandfatherly,womanly
1,68,drum,grandfatherly,feministic
1,69,fingernail,grandfatherly,statuesque
1,70,fish,grandfatherly,feminine
1,71,fist,genius,sexy
1,72,fork,genius,plus-size
1,73,frog,genius,full-figured
1,74,head,genius,good-looking
1,75,ladybug,genius,voluptuous
1,76,lip,genius,grandmotherly
1,77,mattress,genius,womanly
1,78,moon,genius,feministic
1,79,mouse,genius,statuesque
1,80,mouth,genius,feminine
1,81,movie,dapper,sexy
1,82,necklace,dapper,plus-size
1,83,pajama,dapper,full-figured
1,84,pants,dapper,good-looking
1,85,pie,dapper,voluptuous
1,86,rain,dapper,grandmotherly
1,87,sand,dapper,womanly
1,88,shoulder,dapper,feministic
1,89,sock,dapper,statuesque
1,90,star,dapper,feminine
1,91,stove,burly,sexy
1,92,stripe,burly,plus-size
1,93,sun,burly,full-figured
1,94,table,burly,good-looking
1,95,toaster,burly,voluptuous
1,96,toilet,burly,grandmotherly
