version,question,noun,masculine_adjective,feminine_adjective
1,1,calzoncillos,masculino/masculina,femenino/femenina
1,2,calzoncillos,masculino/masculina,virgen
1,3,calzoncillos,masculino/masculina,sensual
1,4,calzoncillos,masculino/masculina,sexy
1,5,calzoncillos,masculino/masculina,despampanante
1,6,calzoncillos,masculino/masculina,sentimental
1,7,calzoncillos,macho,femenino/femenina
1,8,calzoncillos,macho,virgen
1,9,calzoncillos,macho,sensual
1,10,calzoncillos,macho,sexy
1,11,calzoncillos,macho,despampanante
1,12,calzoncillos,macho,sentimental
1,13,calzoncillos,forzudo/forzuda,femenino/femenina
1,14,calzoncillos,forzudo/forzuda,virgen
1,15,calzoncillos,forzudo/forzuda,sensual
1,16,calzoncillos,forzudo/forzuda,sexy
1,17,calzoncillos,forzudo/forzuda,despampanante
1,18,calzoncillos,forzudo/forzuda,sentimental
1,19,calzoncillos,primitivo/primitiva,femenino/femenina
1,20,calzoncillos,primitivo/primitiva,virgen
1,21,calzoncillos,primitivo/primitiva,sensual
1,22,calzoncillos,primitivo/primitiva,sexy
1,23,calzoncillos,primitivo/primitiva,despampanante
1,24,calzoncillos,primitivo/primitiva,sentimental
1,25,calzoncillos,vaquero/vaquera,femenino/femenina
1,26,calzoncillos,vaquero/vaquera,virgen
1,27,calzoncillos,vaquero/vaquera,sensual
1,28,calzoncillos,vaquero/vaquera,sexy
1,29,calzoncillos,vaquero/vaquera,despampanante
1,30,calzoncillos,vaquero/vaquera,sentimental
1,31,calzoncillos,poderoso/poderosa,femenino/femenina
1,32,calzoncillos,poderoso/poderosa,virgen
1,33,calzoncillos,poderoso/poderosa,sensual
1,34,calzoncillos,poderoso/poderosa,sexy
1,35,calzoncillos,poderoso/poderosa,despampanante
1,36,calzoncillos,poderoso/poderosa,sentimental
1,37,barriga,masculino/masculina,femenino/femenina
1,38,barriga,masculino/masculina,virgen
1,39,barriga,masculino/masculina,sensual
1,40,barriga,masculino/masculina,sexy
1,41,barriga,masculino/masculina,despampanante
1,42,barriga,masculino/masculina,sentimental
1,43,barriga,macho,femenino/femenina
1,44,barriga,macho,virgen
1,45,barriga,macho,sensual
1,46,barriga,macho,sexy
1,47,barriga,macho,despampanante
1,48,barriga,macho,sentimental
1,49,barriga,forzudo/forzuda,femenino/femenina
1,50,barriga,forzudo/forzuda,virgen
1,51,barriga,forzudo/forzuda,sensual
1,52,barriga,forzudo/forzuda,sexy
1,53,barriga,forzudo/forzuda,despampanante
1,54,barriga,forzudo/forzuda,sentimental
1,55,barriga,primitivo/primitiva,femenino/femenina
1,56,barriga,primitivo/primitiva,virgen
1,57,barriga,primitivo/primitiva,sensual
1,58,barriga,primitivo/primitiva,sexy
1,59,barriga,primitivo/primitiva,despampanante
1,60,barriga,primitivo/primitiva,sentimental
1,61,barriga,vaquero/vaquera,femenino/femenina
1,62,barriga,vaquero/vaquera,virgen
1,63,barriga,vaquero/vaquera,sensual
1,64,barriga,vaquero/vaquera,sexy
1,65,barriga,vaquero/vaquera,despampanante
1,66,barriga,vaquero/vaquera,sentimental
1,67,barriga,poderoso/poderosa,femenino/femenina
1,68,barriga,poderoso/poderosa,virgen
1,69,barriga,poderoso/poderosa,sensual
1,70,barriga,poderoso/poderosa,sexy
1,71,barriga,poderoso/poderosa,despampanante
1,72,barriga,poderoso/poderosa,sentimental
1,73,gato,masculino/masculina,femenino/femenina
1,74,gato,masculino/masculina,virgen
1,75,gato,masculino/masculina,sensual
1,76,gato,masculino/masculina,sexy
1,77,gato,masculino/masculina,despampanante
1,78,gato,masculino/masculina,sentimental
1,79,gato,macho,femenino/femenina
1,80,gato,macho,virgen
1,81,gato,macho,sensual
1,82,gato,macho,sexy
1,83,gato,macho,despampanante
1,84,gato,macho,sentimental
1,85,gato,forzudo/forzuda,femenino/femenina
1,86,gato,forzudo/forzuda,virgen
1,87,gato,forzudo/forzuda,sensual
1,88,gato,forzudo/forzuda,sexy
1,89,gato,forzudo/forzuda,despampanante
1,90,gato,forzudo/forzuda,sentimental
1,91,gato,primitivo/primitiva,femenino/femenina
1,92,gato,primitivo/primitiva,virgen
1,93,gato,primitivo/primitiva,sensual
1,94,gato,primitivo/primitiva,sexy
1,95,gato,primitivo/primitiva,despampanante
1,96,gato,primitivo/primitiva,sentimental
1,97,gato,vaquero/vaquera,femenino/femenina
1,98,gato,vaquero/vaquera,virgen
1,99,gato,vaquero/vaquera,sensual
1,100,gato,vaquero/vaquera,sexy
1,101,gato,vaquero/vaquera,despampanante
1,102,gato,vaquero/vaquera,sentimental
1,103,gato,poderoso/poderosa,femenino/femenina
1,104,gato,poderoso/poderosa,virgen
1,105,gato,poderoso/poderosa,sensual
1,106,gato,poderoso/poderosa,sexy
1,107,gato,poderoso/poderosa,despampanante
1,108,gato,poderoso/poderosa,sentimental
2,1,jaula,masculino/masculina,femenino/femenina
2,2,jaula,masculino/masculina,virgen
2,3,jaula,masculino/masculina,sensual
2,4,jaula,masculino/masculina,sexy
2,5,jaula,masculino/masculina,despampanante
2,6,jaula,masculino/masculina,sentimental
2,7,jaula,macho,femenino/femenina
2,8,jaula,macho,virgen
2,9,jaula,macho,sensual
2,10,jaula,macho,sexy
2,11,jaula,macho,despampanante
2,12,jaula,macho,sentimental
2,13,jaula,forzudo/forzuda,femenino/femenina
2,14,jaula,forzudo/forzuda,virgen
2,15,jaula,forzudo/forzuda,sensual
2,16,jaula,forzudo/forzuda,sexy
2,17,jaula,forzudo/forzuda,despampanante
2,18,jaula,forzudo/forzuda,sentimental
2,19,jaula,primitivo/primitiva,femenino/femenina
2,20,jaula,primitivo/primitiva,virgen
2,21,jaula,primitivo/primitiva,sensual
2,22,jaula,primitivo/primitiva,sexy
2,23,jaula,primitivo/primitiva,despampanante
2,24,jaula,primitivo/primitiva,sentimental
2,25,jaula,vaquero/vaquera,femenino/femenina
2,26,jaula,vaquero/vaquera,virgen
2,27,jaula,vaquero/vaquera,sensual
2,28,jaula,vaquero/vaquera,sexy
2,29,jaula,vaquero/vaquera,despampanante
2,30,jaula,vaquero/vaquera,sentimental
2,31,jaula,poderoso/poderosa,femenino/femenina
2,32,jaula,poderoso/poderosa,virgen
2,33,jaula,poderoso/poderosa,sensual
2,34,jaula,poderoso/poderosa,sexy
2,35,jaula,poderoso/poderosa,despampanante
2,36,jaula,poderoso/poderosa,sentimental
2,37,hombro,masculino/masculina,femenino/femenina
2,38,hombro,masculino/masculina,virgen
2,39,hombro,masculino/masculina,sensual
2,40,hombro,masculino/masculina,sexy
2,41,hombro,masculino/masculina,despampanante
2,42,hombro,masculino/masculina,sentimental
2,43,hombro,macho,femenino/femenina
2,44,hombro,macho,virgen
2,45,hombro,macho,sensual
2,46,hombro,macho,sexy
2,47,hombro,macho,despampanante
2,48,hombro,macho,sentimental
2,49,hombro,forzudo/forzuda,femenino/femenina
2,50,hombro,forzudo/forzuda,virgen
2,51,hombro,forzudo/forzuda,sensual
2,52,hombro,forzudo/forzuda,sexy
2,53,hombro,forzudo/forzuda,despampanante
2,54,hombro,forzudo/forzuda,sentimental
2,55,hombro,primitivo/primitiva,femenino/femenina
2,56,hombro,primitivo/primitiva,virgen
2,57,hombro,primitivo/primitiva,sensual
2,58,hombro,primitivo/primitiva,sexy
2,59,hombro,primitivo/primitiva,despampanante
2,60,hombro,primitivo/primitiva,sentimental
2,61,hombro,vaquero/vaquera,femenino/femenina
2,62,hombro,vaquero/vaquera,virgen
2,63,hombro,vaquero/vaquera,sensual
2,64,hombro,vaquero/vaquera,sexy
2,65,hombro,vaquero/vaquera,despampanante
2,66,hombro,vaquero/vaquera,sentimental
2,67,hombro,poderoso/poderosa,femenino/femenina
2,68,hombro,poderoso/poderosa,virgen
2,69,hombro,poderoso/poderosa,sensual
2,70,hombro,poderoso/poderosa,sexy
2,71,hombro,poderoso/poderosa,despampanante
2,72,hombro,poderoso/poderosa,sentimental
2,73,silla,masculino/masculina,femenino/femenina
2,74,silla,masculino/masculina,virgen
2,75,silla,masculino/masculina,sensual
2,76,silla,masculino/masculina,sexy
2,77,silla,masculino/masculina,despampanante
2,78,silla,masculino/masculina,sentimental
2,79,silla,macho,femenino/femenina
2,80,silla,macho,virgen
2,81,silla,macho,sensual
2,82,silla,macho,sexy
2,83,silla,macho,despampanante
2,84,silla,macho,sentimental
2,85,silla,forzudo/forzuda,femenino/femenina
2,86,silla,forzudo/forzuda,virgen
2,87,silla,forzudo/forzuda,sensual
2,88,silla,forzudo/forzuda,sexy
2,89,silla,forzudo/forzuda,despampanante
2,90,silla,forzudo/forzuda,sentimental
2,91,silla,primitivo/primitiva,femenino/femenina
2,92,silla,primitivo/primitiva,virgen
2,93,silla,primitivo/primitiva,sensual
2,94,silla,primitivo/primitiva,sexy
2,95,silla,primitivo/primitiva,despampanante
2,96,silla,primitivo/primitiva,sentimental
2,97,silla,vaquero/vaquera,femenino/femenina
2,98,silla,vaquero/vaquera,virgen
2,99,silla,vaquero/vaquera,sensual
2,100,silla,vaquero/vaquera,sexy
2,101,silla,vaquero/vaquera,despampanante
2,102,silla,vaquero/vaquera,sentimental
2,103,silla,poderoso/poderosa,femenino/femenina
2,104,silla,poderoso/poderosa,virgen
2,105,silla,poderoso/poderosa,sensual
2,106,silla,poderoso/poderosa,sexy
2,107,silla,poderoso/poderosa,despampanante
2,108,silla,poderoso/poderosa,sentimental
3,1,reloj,masculino/masculina,femenino/femenina
3,2,reloj,masculino/masculina,virgen
3,3,reloj,masculino/masculina,sensual
3,4,reloj,masculino/masculina,sexy
3,5,reloj,masculino/masculina,despampanante
3,6,reloj,masculino/masculina,sentimental
3,7,reloj,macho,femenino/femenina
3,8,reloj,macho,virgen
3,9,reloj,macho,sensual
3,10,reloj,macho,sexy
3,11,reloj,macho,despampanante
3,12,reloj,macho,sentimental
3,13,reloj,forzudo/forzuda,femenino/femenina
3,14,reloj,forzudo/forzuda,virgen
3,15,reloj,forzudo/forzuda,sensual
3,16,reloj,forzudo/forzuda,sexy
3,17,reloj,forzudo/forzuda,despampanante
3,18,reloj,forzudo/forzuda,sentimental
3,19,reloj,primitivo/primitiva,femenino/femenina
3,20,reloj,primitivo/primitiva,virgen
3,21,reloj,primitivo/primitiva,sensual
3,22,reloj,primitivo/primitiva,sexy
3,23,reloj,primitivo/primitiva,despampanante
3,24,reloj,primitivo/primitiva,sentimental
3,25,reloj,vaquero/vaquera,femenino/femenina
3,26,reloj,vaquero/vaquera,virgen
3,27,reloj,vaquero/vaquera,sensual
3,28,reloj,vaquero/vaquera,sexy
3,29,reloj,vaquero/vaquera,despampanante
3,30,reloj,vaquero/vaquera,sentimental
3,31,reloj,poderoso/poderosa,femenino/femenina
3,32,reloj,poderoso/poderosa,virgen
3,33,reloj,poderoso/poderosa,sensual
3,34,reloj,poderoso/poderosa,sexy
3,35,reloj,poderoso/poderosa,despampanante
3,36,reloj,poderoso/poderosa,sentimental
3,37,suciedad,masculino/masculina,femenino/femenina
3,38,suciedad,masculino/masculina,virgen
3,39,suciedad,masculino/masculina,sensual
3,40,suciedad,masculino/masculina,sexy
3,41,suciedad,masculino/masculina,despampanante
3,42,suciedad,masculino/masculina,sentimental
3,43,suciedad,macho,femenino/femenina
3,44,suciedad,macho,virgen
3,45,suciedad,macho,sensual
3,46,suciedad,macho,sexy
3,47,suciedad,macho,despampanante
3,48,suciedad,macho,sentimental
3,49,suciedad,forzudo/forzuda,femenino/femenina
3,50,suciedad,forzudo/forzuda,virgen
3,51,suciedad,forzudo/forzuda,sensual
3,52,suciedad,forzudo/forzuda,sexy
3,53,suciedad,forzudo/forzuda,despampanante
3,54,suciedad,forzudo/forzuda,sentimental
3,55,suciedad,primitivo/primitiva,femenino/femenina
3,56,suciedad,primitivo/primitiva,virgen
3,57,suciedad,primitivo/primitiva,sensual
3,58,suciedad,primitivo/primitiva,sexy
3,59,suciedad,primitivo/primitiva,despampanante
3,60,suciedad,primitivo/primitiva,sentimental
3,61,suciedad,vaquero/vaquera,femenino/femenina
3,62,suciedad,vaquero/vaquera,virgen
3,63,suciedad,vaquero/vaquera,sensual
3,64,suciedad,vaquero/vaquera,sexy
3,65,suciedad,vaquero/vaquera,despampanante
3,66,suciedad,vaquero/vaquera,sentimental
3,67,suciedad,poderoso/poderosa,femenino/femenina
3,68,suciedad,poderoso/poderosa,virgen
3,69,suciedad,poderoso/poderosa,sensual
3,70,suciedad,poderoso/poderosa,sexy
3,71,suciedad,poderoso/poderosa,despampanante
3,72,suciedad,poderoso/poderosa,sentimental
3,73,vestidor,masculino/masculina,femenino/femenina
3,74,vestidor,masculino/masculina,virgen
3,75,vestidor,masculino/masculina,sensual
3,76,vestidor,masculino/masculina,sexy
3,77,vestidor,masculino/masculina,despampanante
3,78,vestidor,masculino/masculina,sentimental
3,79,vestidor,macho,femenino/femenina
3,80,vestidor,macho,virgen
3,81,vestidor,macho,sensual
3,82,vestidor,macho,sexy
3,83,vestidor,macho,despampanante
3,84,vestidor,macho,sentimental
3,85,vestidor,forzudo/forzuda,femenino/femenina
3,86,vestidor,forzudo/forzuda,virgen
3,87,vestidor,forzudo/forzuda,sensual
3,88,vestidor,forzudo/forzuda,sexy
