LANGUAGE,TARGET CATEGORY,TARGET WORD,REFERENCE PART OF SPEECH,REFERENCE ASSOCIATION/GRAMMATICAL GENDER,REFERENCE TRANSLATION,REFERENCE WORD,COSINE SIMILARITY,SUB-LIST
en,genders,man,noun,neuter,spoon,spoon,0.15088212529453646,
en,genders,man,noun,neuter,ball,ball,0.16997915089283358,
en,genders,man,noun,neuter,sock,sock,0.2055225177627762,
en,genders,man,noun,neuter,bean,bean,0.1704210583182379,
en,genders,man,noun,neuter,soap,soap,0.12773033524550256,
en,genders,man,noun,neuter,rock,rock,0.23882523435901667,
en,genders,man,noun,neuter,toilet,toilet,0.1787668456335745,
en,genders,man,noun,neuter,rain,rain,0.12873249972419787,
en,genders,man,noun,neuter,underpants,underpants,0.2501565281588261,
en,genders,man,noun,neuter,pants,pants,0.21685370941824667,
en,genders,man,noun,neuter,tail,tail,0.11151538180863756,
en,genders,man,noun,neuter,lip,lip,0.07931644370211008,
en,genders,man,noun,neuter,butterfly,butterfly,0.14440775988117477,
en,genders,man,noun,neuter,pie,pie,0.18426421178464125,
en,genders,man,noun,neuter,fish,fish,0.21917408748121164,
en,genders,man,noun,neuter,boot,boot,0.14925370081752254,
en,genders,man,noun,neuter,cupcake,cupcake,0.11170471399744386,
en,genders,man,noun,neuter,apple,apple,0.20402707697999006,
en,genders,man,noun,neuter,sun,sun,0.13931738330513282,
en,genders,man,noun,neuter,diaper,diaper,0.09292935348397488,
en,genders,man,noun,neuter,bumblebee,bumblebee,0.17137777818357305,
en,genders,man,noun,neuter,ketchup,ketchup,0.14736115462776347,
en,genders,man,noun,neuter,fingernail,fingernail,0.1880854318923529,
en,genders,man,noun,neuter,frog,frog,0.2653175798490781,
en,genders,man,noun,neuter,spaghetti,spaghetti,0.1624476727669277,
en,genders,man,noun,neuter,toothbrush,toothbrush,0.16171759270004377,
en,genders,man,noun,neuter,pea,pea,0.19828690859570508,
en,genders,man,noun,neuter,lettuce,lettuce,0.15246004812809613,
en,genders,man,noun,neuter,wall,wall,0.12985488320715616,
en,genders,man,noun,neuter,clock,clock,0.1407577154453817,
en,genders,man,noun,neuter,dirt,dirt,0.19955003797735965,
en,genders,man,noun,neuter,dresser,dresser,0.24051345738744626,
en,genders,man,noun,neuter,sidewalk,sidewalk,0.22383852348789673,
en,genders,man,noun,neuter,washcloth,washcloth,0.11765612486232328,
en,genders,man,noun,neuter,stove,stove,0.17490879375863397,
en,genders,man,noun,neuter,head,head,0.28674072990944904,
en,genders,man,noun,neuter,tomato,tomato,0.16613002626286447,
en,genders,man,noun,neuter,sand,sand,0.11908552061549366,
en,genders,man,noun,neuter,lemon,lemon,0.12706831401767893,
en,genders,man,noun,neuter,noodle,noodle,0.1274040280756331,
en,genders,man,noun,neuter,mouth,mouth,0.15948370251282126,
en,genders,man,noun,neuter,box,box,0.1309743216874344,
en,genders,man,noun,neuter,policeman,policeman,0.5663423038463568,
en,genders,man,noun,neuter,candy,candy,0.1324630385933425,
en,genders,man,noun,neuter,sandbox,sandbox,0.0391281942761792,
en,genders,man,noun,neuter,snow,snow,0.11905129143065572,
en,genders,man,noun,neuter,bench,bench,0.21550449686258302,
en,genders,man,noun,neuter,drum,drum,0.19552720160988027,
en,genders,man,noun,neuter,shoulder,shoulder,0.19005743992757038,
en,genders,man,noun,neuter,table,table,0.07994241115583393,
en,genders,man,noun,neuter,bowl,bowl,0.1156029584916151,
en,genders,man,noun,neuter,butt,butt,0.20138169695735736,
en,genders,man,noun,neuter,boots,boots,0.16186374344083926,
en,genders,man,noun,neuter,pancake,pancake,0.1816279879727622,
en,genders,man,noun,neuter,fist,fist,0.26132147149444745,
en,genders,man,noun,neuter,pajama,pajama,0.14252706486152872,
en,genders,man,noun,neuter,belly,belly,0.21841240864899122,
en,genders,man,noun,neuter,button,button,0.06292301657076621,
en,genders,man,noun,neuter,toast,toast,0.18088000377853794,
en,genders,man,noun,neuter,sponge,sponge,0.1171031861665493,
en,genders,man,noun,neuter,beard,beard,0.437670334446363,
en,genders,man,noun,neuter,couch,couch,0.15803147851201443,
en,genders,man,noun,neuter,snowball,snowball,0.134821388177746,
en,genders,man,noun,neuter,cage,cage,0.1605514733320579,
en,genders,man,noun,neuter,biscuit,biscuit,0.17674581588112429,
en,genders,man,noun,neuter,mattress,mattress,0.10554462244970832,
en,genders,man,noun,neuter,tummy,tummy,0.08356057911447894,
en,genders,man,noun,neuter,seesaw,seesaw,0.13090094832765423,
en,genders,man,noun,neuter,necklace,necklace,0.13400811517154512,
en,genders,man,noun,neuter,melon,melon,0.20547572000435188,
en,genders,man,noun,neuter,ladybug,ladybug,0.15777372238715748,
en,genders,man,noun,neuter,pumpkin,pumpkin,0.1751972913942427,
en,genders,man,noun,neuter,mustard,mustard,0.19198271496903857,
en,genders,man,noun,neuter,star,star,0.23238928103273532,
en,genders,man,noun,neuter,pinecone,pinecone,0.12920212192868089,
en,genders,man,noun,neuter,stripe,stripe,0.11071636310711158,
en,genders,man,noun,neuter,plane,plane,0.19884125885773113,
en,genders,man,noun,neuter,chair,chair,0.18567874298989134,
en,genders,man,noun,neuter,chest,chest,0.23780618727123987,
en,genders,man,noun,neuter,movie,movie,0.18632579391326867,
en,genders,man,noun,neuter,wing,wing,0.15392458423929103,
en,genders,man,noun,neuter,ceiling,ceiling,0.039587567145581565,
en,genders,man,noun,neuter,barn,barn,0.17866737352321416,
en,genders,man,noun,neuter,burger,burger,0.22181436002529697,
en,genders,man,noun,neuter,peanut,peanut,0.11844759706894988,
en,genders,man,noun,neuter,potato,potato,0.19891016548526042,
en,genders,woman,noun,neuter,spoon,spoon,0.12720439205649767,
en,genders,woman,noun,neuter,ball,ball,0.07663011062829535,
en,genders,woman,noun,neuter,sock,sock,0.12428475725249577,
en,genders,woman,noun,neuter,bean,bean,0.16921437815268645,
en,genders,woman,noun,neuter,soap,soap,0.16603413602885944,
en,genders,woman,noun,neuter,rock,rock,0.15468802452926964,
en,genders,woman,noun,neuter,toilet,toilet,0.19903840953563798,
en,genders,woman,noun,neuter,rain,rain,0.0985061258509544,
en,genders,woman,noun,neuter,underpants,underpants,0.19943636429273848,
en,genders,woman,noun,neuter,pants,pants,0.17937997566730443,
en,genders,woman,noun,neuter,tail,tail,0.058280594533694344,
en,genders,woman,noun,neuter,lip,lip,0.08543863110319845,
en,genders,woman,noun,neuter,butterfly,butterfly,0.19735597871925045,
en,genders,woman,noun,neuter,pie,pie,0.1587933843423311,
en,genders,woman,noun,neuter,fish,fish,0.16525731601354374,
en,genders,woman,noun,neuter,boot,boot,0.10943157567030301,
en,genders,woman,noun,neuter,cupcake,cupcake,0.14862507957729681,
en,genders,woman,noun,neuter,apple,apple,0.1873648009947732,
en,genders,woman,noun,neuter,sun,sun,0.1123268015720284,
en,genders,woman,noun,neuter,diaper,diaper,0.1411237323926287,
en,genders,woman,noun,neuter,bumblebee,bumblebee,0.15199456132677622,
en,genders,woman,noun,neuter,ketchup,ketchup,0.11218828907412956,
en,genders,woman,noun,neuter,fingernail,fingernail,0.20137749763537816,
en,genders,woman,noun,neuter,frog,frog,0.21734471179638257,
en,genders,woman,noun,neuter,spaghetti,spaghetti,0.13694820434914498,
en,genders,woman,noun,neuter,toothbrush,toothbrush,0.15112449317844867,
en,genders,woman,noun,neuter,pea,pea,0.198468173342733,
en,genders,woman,noun,neuter,lettuce,lettuce,0.16142227284279462,
en,genders,woman,noun,neuter,wall,wall,0.1026320436570362,
en,genders,woman,noun,neuter,clock,clock,0.09708090046214156,
en,genders,woman,noun,neuter,dirt,dirt,0.1394003975787141,
en,genders,woman,noun,neuter,dresser,dresser,0.2781039863119934,
en,genders,woman,noun,neuter,sidewalk,sidewalk,0.26776482755113623,
en,genders,woman,noun,neuter,washcloth,washcloth,0.16309290680875038,
en,genders,woman,noun,neuter,stove,stove,0.16452059103825592,
en,genders,woman,noun,neuter,head,head,0.2584914688703941,
en,genders,woman,noun,neuter,tomato,tomato,0.16219171928069798,
en,genders,woman,noun,neuter,sand,sand,0.07045306914693715,
en,genders,woman,noun,neuter,lemon,lemon,0.16574454646432976,
en,genders,woman,noun,neuter,noodle,noodle,0.10290880059225689,
en,genders,woman,noun,neuter,mouth,mouth,0.1209420649371177,
en,genders,woman,noun,neuter,box,box,0.0717911584398,
en,genders,woman,noun,neuter,policeman,policeman,0.4730355793095585,
en,genders,woman,noun,neuter,candy,candy,0.12047200535241648,
en,genders,woman,noun,neuter,sandbox,sandbox,-0.05501451469502075,
en,genders,woman,noun,neuter,snow,snow,0.10137509736480592,
en,genders,woman,noun,neuter,bench,bench,0.12534538202885556,
en,genders,woman,noun,neuter,drum,drum,0.10522486850116322,
en,genders,woman,noun,neuter,shoulder,shoulder,0.17754896491396494,
en,genders,woman,noun,neuter,table,table,0.08312815577605084,
en,genders,woman,noun,neuter,bowl,bowl,0.09398189021624559,
en,genders,woman,noun,neuter,butt,butt,0.18791241777596895,
en,genders,woman,noun,neuter,boots,boots,0.1248448744215181,
en,genders,woman,noun,neuter,pancake,pancake,0.15076493217188874,
en,genders,woman,noun,neuter,fist,fist,0.19819783141709638,
en,genders,woman,noun,neuter,pajama,pajama,0.13519402484054402,
en,genders,woman,noun,neuter,belly,belly,0.2207033797166147,
en,genders,woman,noun,neuter,button,button,0.02997681048274999,
en,genders,woman,noun,neuter,toast,toast,0.15880755143133674,
en,genders,woman,noun,neuter,sponge,sponge,0.08558026995944687,
en,genders,woman,noun,neuter,beard,beard,0.25009902885434987,
en,genders,woman,noun,neuter,couch,couch,0.17349093224524462,
en,genders,woman,noun,neuter,snowball,snowball,0.08112399101175885,
en,genders,woman,noun,neuter,cage,cage,0.11200149057296925,
en,genders,woman,noun,neuter,biscuit,biscuit,0.12802171657628536,
en,genders,woman,noun,neuter,mattress,mattress,0.14319010321243805,
en,genders,woman,noun,neuter,tummy,tummy,0.14118868599423146,
en,genders,woman,noun,neuter,seesaw,seesaw,0.10295439824888268,
en,genders,woman,noun,neuter,necklace,necklace,0.23830170282922042,
en,genders,woman,noun,neuter,melon,melon,0.1891474740739009,
en,genders,woman,noun,neuter,ladybug,ladybug,0.23640275459940238,
en,genders,woman,noun,neuter,pumpkin,pumpkin,0.17412492157927312,
en,genders,woman,noun,neuter,mustard,mustard,0.12447530232426852,
en,genders,woman,noun,neuter,star,star,0.21339963481032842,
en,genders,woman,noun,neuter,pinecone,pinecone,0.0997263419609764,
