PART OF SPEECH,LANGUAGE,ASSOCIATION/GRAMMATICAL GENDER,WORD,TRANSLATION,cosine_similarity_to_target
noun,en,neuter,spoon,spoon,
noun,es,feminine,cuchara,spoon,
noun,de,masculine,Löffel,spoon,
noun,en,neuter,ball,ball,
noun,es,feminine,pelota,ball,
noun,de,masculine,Ball,ball,
noun,en,neuter,sock,sock,
noun,es,masculine,calcetín,sock,
noun,en,neuter,bean,bean,
noun,es,masculine,frijol,bean,
noun,de,feminine,Bohne,bean,
noun,en,neuter,soap,soap,
noun,es,masculine,jabón,soap,
noun,de,feminine,Seife,soap,
noun,en,neuter,rock,rock,
noun,es,feminine,roca,rock,
noun,de,masculine,Felsen,rock,
noun,en,neuter,toilet,toilet,
noun,es,masculine,baño,toilet,
noun,de,feminine,Toilette,toilet,
noun,en,neuter,rain,rain,
noun,es,feminine,lluvia,rain,
noun,de,masculine,Regen,rain,
noun,en,neuter,underpants,underpants,
noun,es,masculine,calzoncillos,underpants,
noun,de,feminine,Unterhose,underpants,
noun,en,neuter,pants,pants,
noun,es,masculine,pantalones,pants,
noun,de,feminine,Hose,pants,
noun,en,neuter,tail,tail,
noun,es,feminine,cola,tail,
noun,de,masculine,Schwanz,tail,
noun,en,neuter,lip,lip,
noun,es,masculine,labio,lip,
noun,de,feminine,Lippe,lip,
noun,en,neuter,butterfly,butterfly,
noun,es,feminine,mariposa,butterfly,
noun,de,masculine,Schmetterling,butterfly,
noun,en,neuter,pie,pie,
noun,es,feminine,tarta,pie,
noun,de,masculine,Kuchen,pie,
noun,en,neuter,fish,fish,
noun,es,feminine,pez,fish,
noun,de,masculine,Fisch,fish,
noun,en,neuter,boot,boot,
noun,es,feminine,bota,boot,
noun,en,neuter,cupcake,cupcake,
noun,es,feminine,magdalena,cupcake,
noun,en,neuter,apple,apple,
noun,es,feminine,manzana,apple,
noun,de,masculine,Apfel,apple,
noun,en,neuter,sun,sun,
noun,es,masculine,sol,sun,
noun,de,feminine,Sonne,sun,
noun,en,neuter,diaper,diaper,
noun,es,masculine,pañal,diaper,
noun,de,feminine,Windel,diaper,
noun,en,neuter,bumblebee,bumblebee,
noun,es,masculine,abejorro,bumblebee,
noun,de,feminine,Hummel,bumblebee,
noun,en,neuter,ketchup,ketchup,
noun,en,neuter,fingernail,fingernail,
noun,es,feminine,uña,fingernail,
noun,de,masculine,Fingernagel,fingernail,
noun,en,neuter,frog,frog,
noun,es,feminine,rana,frog,
noun,de,masculine,Frosch,frog,
noun,en,neuter,spaghetti,spaghetti,
noun,es,masculine,espaguetis,spaghetti,
noun,en,neuter,toothbrush,toothbrush,
noun,es,masculine,cepillo de dientes,toothbrush,
noun,de,feminine,Zahnbürste,toothbrush,
noun,en,neuter,pea,pea,
noun,es,masculine,arveja,pea,
noun,de,feminine,Erbse,pea,
noun,en,neuter,lettuce,lettuce,
noun,es,feminine,lechuga,lettuce,
noun,de,masculine,Kopfsalat,lettuce,
noun,en,neuter,wall,wall,
noun,es,masculine,muro,wall,
noun,de,feminine,Wand,wall,
noun,en,neuter,clock,clock,
noun,es,masculine,reloj,clock,
noun,de,feminine,Uhr,clock,
noun,en,neuter,dirt,dirt,
noun,es,feminine,suciedad,dirt,
noun,de,masculine,Schmutz,dirt,
noun,en,neuter,dresser,dresser,
noun,es,masculine,vestidor,dresser,
noun,de,feminine,Kommode,dresser,
noun,en,neuter,sidewalk,sidewalk,
noun,es,feminine,acera,sidewalk,
noun,de,masculine,Bürgersteig,sidewalk,
noun,en,neuter,washcloth,washcloth,
noun,es,feminine,toallita,washcloth,
noun,de,masculine,Waschlappen,washcloth,
noun,en,neuter,stove,stove,
noun,de,masculine,Herd,stove,
noun,en,neuter,head,head,
noun,es,feminine,cabeza,head,
noun,de,masculine,Kopf,head,
noun,en,neuter,tomato,tomato,
noun,es,masculine,tomate,tomato,
noun,de,feminine,Tomate,tomato,
noun,en,neuter,sand,sand,
noun,es,feminine,arena,sand,
noun,de,masculine,Sand,sand,
noun,en,neuter,lemon,lemon,
noun,de,feminine,Zitrone,lemon,
noun,en,neuter,noodle,noodle,
noun,es,masculine,fideos,noodle,
